library,version,sign,date
xercesImpl,2.11.0,-,2018-06-12
xercesImpl,2.7.1,+,2016-01-15
xercesImpl,2.7.1,-,2016-01-15
xercesImpl,2.7.1,-,2016-08-12
xercesImpl,2.7.1,+,2015-05-08
fop,2.1,-,2017-11-10
fop,1.0,-,2016-08-12
fop,2.1,-,2017-12-06
fop,2.1,-,2017-10-17
fop,2.2,-,2017-06-23
fop,2.2,-,2017-05-11
fop,2.3,-,2020-02-06
fop,2.2,-,2017-09-22
fop,2.1,-,2017-05-09
fop,1.0,-,2014-05-02
fop,2.2,-,2017-10-18
fop,2.2,-,2018-05-18
fop,2.1,-,2017-05-22
fop,1.0,+,2014-05-02
fop,2.2,-,2017-12-04
fop,2.1,-,2017-09-18
openls-databinding,0.3,-,2013-07-31
openls-databinding,0.3,-,2015-09-07
openls-databinding,0.3,+,2014-05-02
openls-databinding,0.3,+,2013-07-31
openls-databinding,0.4,-,2017-02-17
openls-databinding,0.3,+,2013-08-01
openls-databinding,0.3,-,2014-05-02
jaxen,1.1.6,-,2019-04-02
jaxen,1.1.6,-,2015-08-27
jaxen,1.1.6,+,2015-08-24
jaxen,1.1.1,+,2013-06-07
jaxen,1.1.6,-,2015-09-07
jaxen,1.1.6,-,2015-08-07
jaxen,1.1.1,-,2015-05-08
jaxen,1.1.6,+,2016-01-15
jaxen,1.1.6,+,2015-05-08
jaxen,1.1.6,+,2015-09-07
jaxen,1.1.6,-,2016-01-15
poi,3.9,+,2013-06-14
poi,3.9,-,2016-06-24
poi,3.9,+,2013-07-02
poi,3.9,-,2014-05-02
poi,3.9,-,2013-07-02
poi,3.9,+,2014-05-02
commons-io,2.1,+,2014-05-02
commons-io,1.4,-,2014-05-02
commons-io,2.5,-,2017-12-06
commons-io,2.1,-,2014-05-02
commons-io,2.6,-,2017-12-04
commons-io,2.1,-,2016-08-12
commons-io,2.5,-,2017-10-12
org.eclipse.emf.common,2.17.0,-,2020-03-03
org.eclipse.emf.common,2.10.1,-,2015-05-08
org.eclipse.emf.common,2.12.0,-,2018-08-27
org.eclipse.emf.common,2.15.0,-,2019-06-21
org.eclipse.emf.common,2.10.1,-,2016-12-27
org.eclipse.emf.common,2.10.1,+,2016-01-15
org.eclipse.emf.common,2.10.1,+,2014-12-04
org.eclipse.emf.common,2.16.0,-,2019-12-03
javax.servlet.jsp.jstl,1.2.4,-,2017-12-04
javax.servlet.jsp.jstl,1.2.4,+,2017-10-12
javax.servlet.jsp.jstl,1.2.4,-,2018-07-10
javax.servlet.jsp.jstl,1.2.4,+,2017-12-06
stripes,1.5.6,+,2014-05-02
stripes,1.5.6,+,2013-06-07
stripes,1.5.6,-,2016-08-31
stripes,1.5.6,-,2014-05-02
stripersist,1.0.3,+,2014-05-02
stripersist,1.0.3,+,2013-12-06
stripersist,1.0.3,+,2013-06-07
stripersist,1.0.3,-,2014-05-02
javaee-endorsed-api,6.0,-,2018-05-18
javaee-endorsed-api,6.0,+,2018-04-16
viewer-config-persistence,4.2.1-SNAPSHOT,-,2013-07-02
viewer-config-persistence,4.2.1-SNAPSHOT,+,2013-06-07
viewer-config-persistence,4.3,-,2013-07-24
viewer-config-persistence,4.2.1-SNAPSHOT,-,2013-06-07
json,20090211,-,2016-07-28
json,20160212,-,2016-08-05
json,20180130,-,2018-07-10
json,20090211,+,2013-06-14
json,20160810,-,2018-01-12
json,20160807,-,2016-08-12
