library,version,sign,date
jface,3.8.0.v20120521-2329,+,2015-04-20
jface,3.8.0.v20120521-2329,+,2012-08-08
jface,3.8.0.v20120521-2329,-,2015-04-20
junit,4.11,-,2015-04-20
junit,3.8.1,-,2013-04-06
junit,3.8.1,-,2013-03-08
junit,4.11,-,2018-12-14
junit,4.11,-,2013-03-09
junit,4.11,+,2015-04-20
force-wsc,22.0.0,-,2011-12-08
force-partner-api,22.0.0,-,2011-12-08
quartz,1.5.2,-,2015-04-20
quartz,1.5.2,+,2015-04-20
h2,1.3.163,-,2018-12-14
h2,1.3.163,-,2015-04-20
h2,1.3.163,+,2015-04-20
h2,1.3.163,+,2012-02-01
commons-dbcp,1.4,+,2015-04-20
commons-dbcp,1.4,-,2015-04-20
commons-io,2.4,+,2015-04-20
commons-io,2.4,+,2012-08-09
commons-io,2.1,+,2012-01-07
commons-io,2.4,-,2018-12-14
commons-io,2.4,-,2015-04-20
commons-io,2.1,-,2012-04-17
mockito-all,1.9.5,+,2015-10-17
mockito-all,1.9.5,-,2018-12-14
core.commands,3.6.1.v20120521-2329,+,2015-04-20
core.commands,3.6.1.v20120521-2329,+,2012-08-08
core.commands,3.6.1.v20120521-2329,-,2015-04-20
autoitx4java,1,+,2012-01-19
autoitx4java,1,-,2015-04-20
autoitx4java,1,+,2012-08-08
autoitx4java,1,+,2015-04-20
plexus-archiver,3.4,+,2018-12-14
plexus-archiver,3.4,-,2018-12-14
equinox.common,3.6.100.v20120522-1841,+,2012-08-08
equinox.common,3.6.100.v20120522-1841,-,2015-04-20
equinox.common,3.6.100.v20120522-1841,+,2015-04-20
gson,2.3.1,-,2015-10-09
gson,2.3.1,-,2015-10-07
gson,2.3.1,-,2015-10-16
gson,2.3.1,-,2015-10-04
gson,2.3.1,+,2015-10-07
gson,2.3.1,+,2015-04-20
gson,2.3.1,+,2015-10-17
gson,2.3.1,+,2015-10-03
gson,2.3.1,-,2015-09-30
gson,2.3.1,+,2015-10-13
gson,2.3.1,+,2015-09-28
gson,2.3.1,-,2018-12-14
gson,2.3.1,-,2015-07-09
gson,2.3.1,+,2015-10-09
jacob,1.14.3,-,2015-04-20
jacob,1.14.3,+,2015-04-20
jacob,1.14.3,+,2012-01-19
testng,6.3.1,-,2015-04-20
testng,6.3.1,+,2012-01-19
testng,6.3.1,-,2018-12-14
testng,6.3.1,+,2015-04-20
httpclient,4.2.1,-,2016-08-05
httpclient,4.2.1,+,2012-08-09
httpclient,4.2.1,+,2015-04-20
httpclient,4.2.1,-,2015-04-20
httpclient,4.5.2,-,2018-12-14
log4j,1.2.16,-,2015-04-20
log4j,1.2.16,+,2015-04-20
log4j,1.2.16,-,2018-12-14
