library,version,sign,date
junit,4.12,-,2019-04-29
junit,4.11,-,2015-07-15
junit,4.11,-,2014-12-16
junit,4.10-HBASE-1,-,2012-12-04
junit,4.11,+,2014-12-16
junit,4.12,-,2020-01-16
junit,4.11,+,2012-12-04
junit,4.13,+,2019-04-29
junit,4.12,+,2015-07-15
junit,4.11,+,2014-07-01
hbase-client,1.2.4,+,2017-09-09
hbase-client,0.96.2-hadoop2,-,2014-12-16
hbase-client,0.98.5-hadoop2,+,2014-12-16
hbase-client,0.98.5-hadoop2,-,2014-12-16
hbase-client,0.96.2-hadoop2,-,2014-11-12
hbase-client,1.2.4,-,2018-03-20
hbase-client,0.98.5-hadoop2,-,2014-11-12
hbase-client,0.98.5-hadoop2,+,2014-07-01
hbase-client,0.96.2-hadoop2,+,2014-12-16
hbase-client,0.96.2-hadoop2,+,2014-07-01
hbase-client,0.96.2-hadoop2,+,2014-11-12
hbase-client,0.98.5-hadoop2,+,2014-11-12
zookeeper,3.4.9,+,2017-06-07
zookeeper,3.4.5,+,2012-11-26
zookeeper,3.4.5,-,2016-10-06
zookeeper,3.4.8,+,2015-07-15
zookeeper,3.4.5,-,2014-12-16
zookeeper,3.4.9,-,2017-08-31
zookeeper,3.4.5,-,2013-12-06
zookeeper,3.4.14,+,2020-01-16
zookeeper,3.4.6,+,2013-12-06
zookeeper,3.4.8,-,2017-06-07
zookeeper,3.4.10,+,2017-08-31
zookeeper,3.4.6,-,2015-07-15
zookeeper,3.4.10,-,2020-01-16
zookeeper,3.4.3,-,2012-11-26
zookeeper,3.4.5,+,2014-10-07
zookeeper,3.4.5,+,2013-10-02
zookeeper,3.4.5,-,2014-10-07
zookeeper,3.4.5,+,2014-12-16
findbugs-annotations,1.3.9-1,+,2020-01-16
commons-io,2.6,+,2020-01-16
commons-io,2.4,-,2017-06-07
commons-io,2.5,+,2017-06-07
commons-io,2.5,-,2020-01-16
mockito-core,2.1.0,-,2019-04-29
mockito-core,2.1.0,+,2017-10-13
mockito-core,2.28.2,+,2019-04-29
