library,version,sign,date
masabi-frontlinesms-plugin-formscodec,0.02.11,+,2010-06-25
masabi-frontlinesms-plugin-formscodec,0.02.22,-,2010-10-19
masabi-frontlinesms-plugin-formscodec,0.02.04,-,2010-04-26
masabi-frontlinesms-plugin-formscodec,0.02.04,-,2010-04-23
masabi-frontlinesms-plugin-formscodec,0.02.10,-,2010-05-18
masabi-frontlinesms-plugin-formscodec,0.02.15-SNAPSHOT,-,2010-07-21
masabi-frontlinesms-plugin-formscodec,0.02.14,+,2010-06-25
masabi-frontlinesms-plugin-formscodec,0.02.06,-,2010-05-04
masabi-frontlinesms-plugin-formscodec,0.02.18,-,2010-08-13
masabi-frontlinesms-plugin-formscodec,0.02.18-SNAPSHOT,-,2010-08-13
masabi-frontlinesms-plugin-formscodec,0.02.08,-,2010-05-13
masabi-frontlinesms-plugin-formscodec,0.02.15,+,2010-07-28
masabi-frontlinesms-plugin-formscodec,0.02.22-SNAPSHOT,-,2010-09-24
masabi-frontlinesms-plugin-formscodec,0.02.16-SNAPSHOT,-,2010-07-29
masabi-frontlinesms-plugin-formscodec,0.02.22,+,2010-11-19
masabi-frontlinesms-plugin-formscodec,0.02.16,-,2010-08-05
masabi-frontlinesms-plugin-formscodec,0.02.11,-,2010-07-12
masabi-frontlinesms-plugin-formscodec,0.02.14,+,2010-06-15
masabi-frontlinesms-plugin-formscodec,0.02.21,-,2010-08-26
masabi-frontlinesms-plugin-formscodec,0.02.07,-,2010-05-11
masabi-frontlinesms-plugin-formscodec,0.02.20,-,2010-08-26
masabi-frontlinesms-plugin-formscodec,0.02.13,+,2010-06-14
masabi-frontlinesms-plugin-formscodec,0.02.22,-,2011-01-14
masabi-frontlinesms-plugin-formscodec,0.02.07-SNAPSHOT,-,2010-05-07
masabi-frontlinesms-plugin-formscodec,0.02.05-SNAPSHOT,-,2010-04-27
masabi-frontlinesms-plugin-formscodec,0.02.16-SNAPSHOT,+,2010-07-28
masabi-frontlinesms-plugin-formscodec,0.02.14,-,2010-06-25
masabi-frontlinesms-plugin-formscodec,0.02.05-SNAPSHOT,-,2010-04-23
masabi-frontlinesms-plugin-formscodec,0.02.22,+,2010-10-19
masabi-frontlinesms-plugin-formscodec,0.02.21-SNAPSHOT,-,2010-09-24
masabi-frontlinesms-plugin-formscodec,0.02.11,-,2010-05-24
masabi-frontlinesms-plugin-formscodec,0.02.25-SNAPSHOT,-,2011-03-03
masabi-frontlinesms-plugin-formscodec,0.02.22,-,2010-11-19
masabi-frontlinesms-plugin-formscodec,0.02.17,+,2010-08-10
masabi-frontlinesms-plugin-formscodec,0.02.15,-,2010-07-28
masabi-frontlinesms-plugin-formscodec,0.02.08-SNAPSHOT,-,2010-05-12
masabi-frontlinesms-plugin-formscodec,0.02.16,+,2010-08-05
masabi-frontlinesms-plugin-formscodec,0.02.22-SNAPSHOT,-,2010-09-02
masabi-frontlinesms-plugin-formscodec,0.02.20-SNAPSHOT,-,2010-08-23
masabi-frontlinesms-plugin-formscodec,0.02.14,-,2010-06-15
masabi-frontlinesms-plugin-formscodec,0.02.11-SNAPSHOT,-,2010-05-20
masabi-frontlinesms-plugin-formscodec,0.02.14,-,2010-07-26
masabi-frontlinesms-plugin-formscodec,0.02.06-SNAPSHOT,-,2010-04-28
masabi-frontlinesms-plugin-formscodec,0.02.04,+,2010-04-16
masabi-frontlinesms-plugin-formscodec,0.02.17,+,2010-08-05
masabi-frontlinesms-plugin-formscodec,0.02.17,-,2010-08-10
masabi-frontlinesms-plugin-formscodec,0.02.13,-,2010-06-14
masabi-frontlinesms-plugin-formscodec,0.02.05,-,2010-04-28
frontlinesms-service-skebby,1.0.2-SNAPSHOT,-,2012-04-11
frontlinesms-service-skebby,1.0.1-SNAPSHOT,-,2011-03-24
frontlinesms-service-skebby,1.0.1,-,2011-12-28
frontlinesms-core,1.7.0-beta-10,-,2012-04-11
frontlinesms-core,1.7.0-beta-12,-,2012-04-27
frontlinesms-core,1.7.0-beta-12,+,2012-04-25
frontlinesms-core,1.7.0-beta-10,+,2012-04-11
frontlinesms-plugin-httptrigger,0.01.19-SNAPSHOT,-,2010-10-19
frontlinesms-plugin-httptrigger,0.01.06,+,2010-06-25
frontlinesms-plugin-httptrigger,0.01.11,+,2010-06-14
frontlinesms-plugin-httptrigger,0.01.12,-,2010-06-25
frontlinesms-plugin-httptrigger,0.01.19-SNAPSHOT,-,2010-10-14
frontlinesms-plugin-httptrigger,0.01.24-SNAPSHOT,-,2011-03-03
frontlinesms-plugin-httptrigger,0.01.01,-,2010-04-23
frontlinesms-plugin-httptrigger,0.01.24,-,2011-03-21
frontlinesms-plugin-httptrigger,0.01.13,-,2010-07-29
frontlinesms-plugin-httptrigger,0.01.19,+,2010-11-19
frontlinesms-plugin-httptrigger,0.01.15,+,2010-08-10
frontlinesms-plugin-httptrigger,0.01.13,-,2010-07-28
frontlinesms-plugin-httptrigger,0.01.05,-,2010-05-18
frontlinesms-plugin-httptrigger,0.01.14,+,2010-08-05
frontlinesms-plugin-httptrigger,0.01.06,+,2010-07-28
frontlinesms-plugin-httptrigger,0.01.12,-,2010-06-15
frontlinesms-plugin-httptrigger,0.01.02,-,2010-05-04
frontlinesms-plugin-httptrigger,0.01.25,-,2011-04-05
frontlinesms-plugin-httptrigger,0.01.12,-,2010-07-26
frontlinesms-plugin-httptrigger,0.01.15,+,2010-08-05
frontlinesms-plugin-httptrigger,0.01.06,-,2010-05-24
frontlinesms-plugin-httptrigger,0.01.19,+,2010-10-19
frontlinesms-plugin-httptrigger,0.01.15,-,2010-08-10
frontlinesms-plugin-httptrigger,0.01.11,-,2010-06-14
frontlinesms-plugin-httptrigger,0.01.15,-,2010-08-13
frontlinesms-plugin-httptrigger,0.01.18,-,2010-09-30
frontlinesms-plugin-httptrigger,0.01.00,-,2009-12-22
frontlinesms-plugin-httptrigger,0.01.16,-,2010-08-13
frontlinesms-plugin-httptrigger,0.01.19,-,2010-11-22
frontlinesms-plugin-httptrigger,0.01.16-SNAPSHOT,-,2010-08-13
frontlinesms-plugin-httptrigger,0.01.20-SNAPSHOT,-,2011-01-14
frontlinesms-plugin-httptrigger,0.01.12,+,2010-06-25
frontlinesms-plugin-httptrigger,0.01.06-SNAPSHOT,-,2010-05-20
frontlinesms-plugin-httptrigger,0.01.02-SNAPSHOT,-,2010-04-27
frontlinesms-plugin-httptrigger,0.01.03-SNAPSHOT,-,2010-05-07
frontlinesms-plugin-httptrigger,0.01.18-SNAPSHOT,-,2010-08-23
frontlinesms-plugin-httptrigger,0.01.03,-,2010-05-12
frontlinesms-plugin-httptrigger,0.01.18,-,2010-10-18
frontlinesms-plugin-httptrigger,0.01.13,+,2010-07-28
frontlinesms-plugin-httptrigger,0.01.01-SNAPSHOT,-,2010-04-13
frontlinesms-plugin-httptrigger,0.01.04,-,2010-05-14
frontlinesms-plugin-httptrigger,0.01.14,-,2010-08-05
frontlinesms-plugin-httptrigger,0.01.06,-,2010-07-29
frontlinesms-plugin-httptrigger,0.01.19,-,2010-11-19
frontlinesms-plugin-httptrigger,0.01.06,-,2010-07-21
frontlinesms-plugin-httptrigger,0.01.12,+,2010-06-15
frontlinesms-plugin-httptrigger,0.01.25-SNAPSHOT,-,2011-03-24
frontlinesms-plugin-httptrigger,0.01.26-SNAPSHOT,-,2012-04-11
frontlinesms-plugin-forms,0.02.02-beta1,-,2010-04-16
frontlinesms-plugin-forms,0.02.31,-,2011-03-21
frontlinesms-plugin-forms,0.02.04,-,2010-04-23
frontlinesms-plugin-forms,0.02.01,-,2009-12-14
frontlinesms-plugin-forms,0.02.30-SNAPSHOT,-,2011-01-14
frontlinesms-plugin-forms,0.02.02,-,2009-12-22
frontlinesms-plugin-forms,0.02.03-SNAPSHOT,-,2009-12-23
frontlinesms-plugin-forms,0.02.02-beta-1,-,2010-04-14
frontlinesms-plugin-forms,0.02.33-SNAPSHOT,-,2012-04-11
frontlinesms-plugin-forms,0.02.32-SNAPSHOT,-,2011-03-24
frontlinesms-plugin-forms,0.02.30-SNAPSHOT,+,2011-01-14
frontlinesms-plugin-forms,0.02.02-SNAPSHOT,-,2010-04-13
frontlinesms-plugin-forms,0.02.03,-,2010-04-23
frontlinesms-plugin-forms,0.02.32,-,2011-12-30
frontlinesms-plugin-forms,0.02.31-SNAPSHOT,+,2011-01-14
frontlinesms-plugin-forms,0.02.31-SNAPSHOT,-,2011-03-03
frontlinesms-plugin-sync,0.0.1-SNAPSHOT,-,2011-03-24
frontlinesms-plugin-sync,0.0.2-SNAPSHOT,-,2012-04-11
frontlinesms-plugin-sync,0.0.1,-,2011-12-28
frontlinesms-plugin-sync,0.0.1-SNAPSHOT,+,2011-03-21
frontlinesms-plugin-sync,0.0.2,-,2012-07-24
frontlinesms-test,0.01.01,+,2010-07-28
frontlinesms-test,0.01.01,+,2010-10-19
frontlinesms-test,0.01.01,-,2010-11-19
frontlinesms-test,0.01.01,-,2010-08-05
frontlinesms-test,0.01.01,+,2010-08-10
frontlinesms-test,0.01.01,+,2010-08-05
frontlinesms-test,0.01.01,+,2010-11-19
frontlinesms-test,0.01.01,-,2010-07-21
frontlinesms-test,0.01.01,-,2010-08-10
frontlinesms-test,0.01.01,-,2010-10-19
frontlinesms-test,0.01.01,-,2011-01-14
frontlinesms-test,0.01.01,-,2010-07-28
frontlinesms-test,0.01.01,+,2010-07-12
frontlinesms-plugin-translation,0.00.19-SNAPSHOT,-,2011-03-03
frontlinesms-plugin-translation,0.00.05,-,2010-07-29
frontlinesms-plugin-translation,0.00.04,+,2010-07-12
frontlinesms-plugin-translation,0.00.19,-,2011-03-21
frontlinesms-plugin-translation,0.00.02,-,2010-06-15
frontlinesms-plugin-translation,0.00.15,-,2011-01-14
frontlinesms-plugin-translation,0.00.15,+,2010-10-19
frontlinesms-plugin-translation,0.00.15,-,2010-11-19
frontlinesms-plugin-translation,0.00.05,-,2010-07-28
frontlinesms-plugin-translation,0.00.03,-,2010-07-26
frontlinesms-plugin-translation,0.00.06,+,2010-08-05
frontlinesms-plugin-translation,0.00.07,-,2010-08-10
frontlinesms-plugin-translation,0.00.01,+,2010-06-14
frontlinesms-plugin-translation,0.00.15,+,2010-11-19
frontlinesms-plugin-translation,0.00.08-SNAPSHOT,-,2010-08-13
frontlinesms-plugin-translation,0.00.07,-,2010-08-13
frontlinesms-plugin-translation,0.00.03,-,2010-06-15
frontlinesms-plugin-translation,0.00.04,+,2010-06-25
frontlinesms-plugin-translation,0.00.02,+,2010-06-15
frontlinesms-plugin-translation,0.00.06,-,2010-08-05
frontlinesms-plugin-translation,0.00.07,+,2010-08-05
frontlinesms-plugin-translation,0.00.04,-,2010-07-21
frontlinesms-plugin-translation,0.00.08,-,2010-08-13
frontlinesms-plugin-translation,0.00.20-SNAPSHOT,-,2011-03-24
frontlinesms-plugin-translation,0.00.04,-,2010-07-29
frontlinesms-plugin-translation,0.00.07,-,2010-08-23
frontlinesms-plugin-translation,0.00.01,-,2010-06-14
frontlinesms-plugin-translation,0.00.21-SNAPSHOT,-,2012-04-11
frontlinesms-plugin-translation,0.00.13,-,2010-10-19
frontlinesms-plugin-translation,0.00.07,+,2010-08-10
frontlinesms-plugin-translation,0.00.04,+,2010-07-28
frontlinesms-plugin-translation,0.00.20,-,2011-12-30
frontlinesms-plugin-translation,0.00.04,+,2010-06-15
frontlinesms-plugin-translation,0.00.04,-,2010-06-25
frontlinesms-plugin-translation,0.00.05,+,2010-07-28
