library,version,sign,date
craftbukkit,1.6.2-R1.0,+,2013-10-20
craftbukkit,1.6.2-R1.0,-,2013-10-25
craftbukkit,1.6.4-R1.0,-,2013-11-02
bukkit,1.6.2-R1.0,-,2013-10-20
bukkit,1.5.2-R1.0,-,2013-10-20
bukkit,1.6.2-R1.0,-,2013-10-25
bukkit,1.6.4-R1.0,-,2013-11-02
bukkit,1.5.2-R1.0,-,2013-10-05
ormlite-jdbc,4.47,-,2013-11-02
ormlite-jdbc,4.47,+,2013-10-27
ormlite-jdbc,4.47,+,2014-01-11
ormlite-core,4.47,-,2013-11-02
ormlite-core,4.47,+,2013-10-27
ormlite-core,4.47,+,2014-01-11
Essentials,Dev2.12.53,+,2013-09-09
Vault,1.2.27,+,2013-09-09
Vault,1.2.27,-,2014-02-01
