library,version,sign,date
commons-configuration,1.8,+,2012-12-11
commons-configuration,1.8,+,2012-11-23
commons-configuration,1.8,+,2012-05-18
asm-all,3.3.1,-,2011-12-28
asm-all,3.3.1,+,2012-01-08
asm-all,3.3.1,+,2011-12-28
asm-all,3.3.1,+,2012-12-11
asm-all,3.3.1,+,2011-12-29
junit,4.10,+,2012-11-23
junit,4.10,+,2012-12-11
junit,4.10,+,2011-12-22
junit,4.8.1,+,2012-12-11
junit,4.10,+,2012-02-19
junit,4.1,+,2012-11-23
junit,4.8.1,+,2012-02-19
junit,4.10,+,2012-01-08
joda-time,2.0,+,2012-01-09
joda-time,2.0,+,2012-02-19
joda-time,2.0,+,2012-12-11
disruptor,2.10.3,+,2012-12-11
disruptor,2.6,-,2012-11-23
disruptor,2.6,+,2012-01-02
disruptor,2.6,-,2012-05-21
disruptor,2.6,+,2012-02-19
disruptor,2.6,+,2012-01-08
commons-io,2.1,+,2012-12-11
commons-io,2.1,+,2012-02-19
commons-io,2.1,+,2012-04-03
antlr-runtime,3.4,+,2012-01-08
antlr-runtime,3.4,+,2012-02-19
antlr-runtime,3.4,+,2011-12-22
antlr-runtime,3.4,+,2012-12-11
antlr-runtime,3.4,-,2011-12-22
protobuf-java,2.4.1,+,2012-04-22
protobuf-java,2.4.1,+,2012-02-19
protobuf-java,2.3.0,+,2012-02-19
protobuf-java,2.4.1,+,2012-11-23
protobuf-java,2.4.1,+,2012-12-11
je,4.0.92,+,2012-12-11
je,4.0.92,-,2012-01-08
je,4.0.92,+,2012-01-31
je,4.0.92,+,2012-02-19
je,4.0.92,+,2012-01-06
commons-lang3,3.1,+,2012-04-03
commons-lang3,3.1,+,2012-12-11
commons-lang3,3.1,+,2012-11-23
guava,11.0,+,2012-01-09
guava,11.0,+,2012-01-06
guava,10.0.1,-,2012-01-05
guava,10.0.1,+,2011-12-22
guava,11.0,+,2012-12-11
janino,2.5.10,+,2012-01-08
janino,2.5.10,+,2012-12-11
janino,2.5.10,+,2011-12-29
log4j,1.2.15,+,2012-11-23
log4j,1.2.16,+,2012-02-19
log4j,1.2.14,+,2012-01-09
log4j,1.2.14,+,2012-02-19
log4j,1.2.16,+,2012-11-23
log4j,1.2.14,-,2012-11-23
log4j,1.2.16,+,2012-12-11
log4j,1.2.16,+,2012-04-22
log4j,1.2.14,-,2012-04-22
