library,version,sign,date
easymock,3.0,+,2012-10-19
easymock,3.0,-,2012-10-19
sesame-runtime,2.7.1,+,2012-10-22
slf4j-api,1.6.1,-,2012-10-22
slf4j-api,1.6.1,+,2012-10-19
slf4j-api,1.6.1,-,2012-10-19
junit,4.10,-,2012-10-19
junit,4.10,+,2012-10-19
sqlite-jdbc,3.7.2,+,2012-10-19
sqlite-jdbc,3.7.2,-,2012-10-19
slf4j-nop,1.6.1,-,2012-10-22
slf4j-nop,1.6.1,+,2012-10-19
slf4j-nop,1.6.1,-,2012-10-19
otsoCommons,1.1.1,-,2012-10-19
org.restlet.ext.simple,2.0.13,-,2012-10-22
org.restlet.ext.simple,2.0.13,+,2012-10-19
org.restlet.ext.simple,2.0.13,-,2012-10-19
simple,4.1.21,-,2012-10-19
simple,4.1.21,+,2012-10-19
