library,version,sign,date
kitodo-api,3.0.0-beta.1,-,2018-10-09
kitodo-api,3.1.0,-,2020-03-02
kitodo-api,3.0.0-beta.3-SNAPSHOT,-,2019-04-01
kitodo-api,3.0.0-beta.2,-,2019-01-29
kitodo-api,3.0.0-beta.4,-,2019-07-12
kitodo-api,3.0.0-beta.1-SNAPSHOT,-,2018-10-10
kitodo-api,3.0-SNAPSHOT,+,2017-07-24
kitodo-api,3.0-SNAPSHOT,+,2017-10-25
kitodo-api,3.0.0-beta.2,+,2018-10-10
kitodo-api,3.0.0,-,2020-01-31
kitodo-api,3.0-SNAPSHOT,-,2018-09-17
kitodo-api,3.0.0-beta.3,-,2019-03-19
kitodo-api,3.0.1-SNAPSHOT,-,2020-02-18
kitodo-api,3.0-SNAPSHOT,+,2017-07-06
kitodo-api,3.0-SNAPSHOT,-,2017-10-25
kitodo-api,3.0-SNAPSHOT,+,2018-06-15
kitodo-api,3.0.0-beta.2-SNAPSHOT,-,2019-01-30
kitodo-api,3.0.0,+,2019-07-12
kitodo-api,3.0.1,-,2020-02-17
kitodo-api,3.0.0-beta.4-SNAPSHOT,-,2019-07-12
kitodo-api,3.0.0-SNAPSHOT,-,2020-02-04
