library,version,sign,date
batik-rasterizer-ext,1.6-1,-,2015-11-01
batik-rasterizer-ext,1.6-1,+,2010-02-07
batik-rasterizer-ext,1.8,-,2015-11-13
batik-rasterizer-ext,1.6-1,-,2010-02-07
xmlgraphics-commons,2.0.1,-,2016-11-02
xmlgraphics-commons,2.0.1,+,2015-11-01
batik-svggen,1.6-1,-,2015-11-01
batik-svggen,1.6-1,+,2010-02-07
batik-svggen,1.8,-,2015-11-13
batik-svggen,1.6-1,-,2010-02-07
batik-anim,1.8,+,2015-11-01
batik-anim,1.8,-,2015-11-13
batik-extension,1.8,+,2015-11-01
batik-extension,1.8,-,2015-11-13
batik-transcoder,1.6-1,-,2015-11-01
batik-transcoder,1.6-1,+,2010-02-07
batik-transcoder,1.8,-,2015-11-13
batik-transcoder,1.6-1,-,2010-02-07
