library,version,sign,date
plexus-component-annotations,1.5.2,-,2011-11-22
commons-io,1.3.2,+,2011-06-23
jaxb-xjc,2.2.5-b05,-,2011-12-02
jaxb-xjc,2.0,+,2011-02-04
jaxb-xjc,2.0,-,2011-11-22
hbc-maven-core,1.0.8.5,-,2013-03-13
hbc-maven-core,1.0.8-SNAPSHOT,-,2012-06-23
hbc-maven-core,1.0.8-SNAPSHOT,-,2013-01-22
hbc-maven-core,1.0.9-SNAPSHOT,-,2013-01-30
hbc-maven-core,1.0.8-SNAPSHOT,-,2012-06-21
hbc-maven-core,1.0.5,-,2012-03-28
hbc-maven-core,1.0.8-SNAPSHOT,-,2012-06-20
hbc-maven-core,1.0.7-SNAPSHOT,-,2012-06-19
hbc-maven-core,1.0.5-SNAPSHOT,-,2011-12-15
hbc-maven-core,1.0.8.2,-,2013-01-30
hbc-maven-core,1.0.9-SNAPSHOT,-,2013-01-29
hbc-maven-core,1.0.8.4,-,2013-03-02
hbc-maven-core,1.0.7,-,2012-06-20
hbc-maven-core,1.0.1,-,2011-04-28
hbc-maven-core,1.0.1-SNAPSHOT,+,2011-02-04
hbc-maven-core,1.0.8.3,-,2013-02-23
hbc-maven-core,1.0.2,-,2011-05-30
hbc-maven-core,1.0.7,-,2012-06-23
hbc-maven-core,1.0.4-SNAPSHOT,-,2011-08-07
hbc-maven-core,1.0.7,-,2012-06-21
hbc-maven-core,1.0.4-SNAPSHOT,-,2011-06-27
hbc-maven-core,1.0.3,-,2011-06-27
hbc-maven-core,1.0.4,-,2011-11-02
hbc-maven-core,1.0.3,-,2011-08-02
hbc-maven-core,1.0,-,2011-02-04
hbc-maven-core,1.0.8.3-SNAPSHOT,-,2013-01-31
hbc-maven-core,1.0.1-SNAPSHOT,-,2011-02-05
hbc-maven-core,1.0.2-SNAPSHOT,-,2011-03-27
hbc-maven-core,1.0.7,-,2012-07-26
hbc-maven-core,1.0-SNAPSHOT,-,2011-01-19
hbc-maven-core,1.0.6-SNAPSHOT,-,2012-04-08
hbc-maven-core,1.0.1,-,2011-03-25
hbc-maven-core,1.0.3-SNAPSHOT,-,2011-06-23
hbc-maven-core,1.0.8.1,-,2013-01-30
