library,version,sign,date
gdata-core,1.0,+,2011-04-12
appengine-jsr107cache,1.7.0,-,2012-11-21
appengine-jsr107cache,1.4.3,-,2012-06-08
appengine-jsr107cache,1.7.4,-,2013-01-21
appengine-jsr107cache,1.4.0,-,2011-05-04
junit,4.8.2,+,2011-02-16
surefire-junit4,2.7.1,+,2011-02-16
gwt,2.1.1,-,2011-05-04
appengine-api-labs,1.7.0,-,2012-11-21
appengine-api-labs,1.4.0,+,2011-02-11
appengine-api-labs,1.4.0,+,2011-02-17
appengine-api-labs,1.4.3,-,2012-06-08
appengine-api-labs,1.7.4,-,2013-01-21
appengine-api-labs,1.4.0,-,2011-05-04
appengine-api-labs,1.4.0,-,2011-02-17
appengine-api-stubs,1.7.0,-,2012-11-21
appengine-api-stubs,1.4.0,+,2011-02-11
appengine-api-stubs,1.4.0,+,2011-02-17
appengine-api-stubs,1.4.0,-,2012-06-08
appengine-api-stubs,1.7.4,-,2013-01-21
appengine-api-stubs,1.4.0,-,2011-02-17
siena,1.0.0-b5,-,2012-03-07
siena,1.0.0-b5-cherry-pick-IllegalAccessException,-,2012-05-08
siena,0.7.7,-,2011-12-21
commons-lang,2.5,-,2011-02-17
commons-lang,2.5,+,2011-02-17
commons-lang,2.5,+,2011-02-16
taco,0.2.2-SNAPSHOT,-,2012-07-27
taco,0.1.1-SNAPSHOT,-,2011-05-04
taco,0.2.1-SNAPSHOT,-,2011-05-30
taco,0.0.1-SNAPSHOT,-,2011-03-08
taco,0.1.2,-,2011-02-10
taco,0.1,-,2011-02-08
yuicompressor,2.4.2,+,2011-04-11
appengine-tools-sdk,1.7.0,-,2012-11-21
appengine-tools-sdk,1.4.3,-,2012-06-08
appengine-tools-sdk,1.4.0,+,2011-03-08
appengine-tools-sdk,1.7.4,-,2013-01-21
appengine-tools-sdk,1.4.0,-,2011-05-04
appengine-api-1.0-sdk,1.7.0,-,2012-11-21
appengine-api-1.0-sdk,1.4.3,-,2012-06-08
appengine-api-1.0-sdk,1.7.4,-,2013-01-21
appengine-api-1.0-sdk,1.4.0,-,2011-05-04
gwt-dnd,3.0.1,+,2011-02-17
appengine-testing,1.7.0,-,2012-11-21
appengine-testing,1.4.0,+,2011-02-11
appengine-testing,1.4.0,+,2011-02-17
appengine-testing,1.4.3,-,2012-06-08
appengine-testing,1.7.4,-,2013-01-21
appengine-testing,1.4.0,-,2011-05-04
appengine-testing,1.4.0,-,2011-02-17
