library,version,sign,date
junit,4.11,+,2013-10-24
junit,4.11,+,2013-11-27
junit,4.11,-,2013-11-27
sqlite-jdbc,3.7.2,-,2013-11-13
sqlite-jdbc,3.7.2,-,2013-11-27
sqlite-jdbc,3.7.2,+,2013-11-07
sqlite-jdbc,3.7.2,+,2013-11-13
sqlite-jdbc,3.7.2,+,2013-11-27
joda-time,2.3,+,2013-12-11
joda-time,2.3,+,2013-12-04
joda-time,2.3,-,2013-12-11
webapp-runner,7.0.34.0,+,2013-10-24
webapp-runner,7.0.40.0,-,2013-11-27
webapp-runner,7.0.34.0,-,2013-11-27
webapp-runner,7.0.34.0,+,2013-10-25
webapp-runner,7.0.34.0,+,2013-11-27
webapp-runner,7.0.34.0,-,2013-10-25
webapp-runner,7.0.40.0,+,2013-11-27
webapp-runner,7.0.40.0,+,2013-10-25
quartz,2.1.1,-,2013-11-13
quartz,2.1.1,-,2013-11-27
quartz,2.1.1,+,2013-11-27
quartz,2.1.1,+,2013-11-13
commons-email,1.3.2,+,2013-11-06
commons-email,1.3.2,+,2013-11-27
commons-email,1.3.2,-,2013-11-27
hibernate-core,4.2.7.Final,+,2013-11-27
hibernate-core,4.2.7.Final,-,2013-11-27
hibernate-core,4.1.4.Final,+,2013-11-07
hibernate-core,4.1.4.Final,-,2013-11-13
hibernate-core,4.2.7.Final,+,2013-11-13
cron4j,2.2.5,-,2013-11-27
cron4j,2.2.5,+,2013-11-27
jollyday,0.4.6,+,2013-12-04
jollyday,0.4.6,-,2013-12-11
jollyday,0.4.6,+,2013-12-11
jsf-api,2.1.7,-,2013-11-27
jsf-api,2.1.7,+,2013-11-27
jstl,1.2,-,2013-11-27
jstl,1.2,+,2013-11-27
mockito-all,1.8.4,+,2013-12-04
mockito-all,1.8.4,-,2013-12-04
all-themes,1.0.10,+,2013-11-27
all-themes,1.0.10,-,2013-11-27
all-themes,1.0.10,+,2013-10-30
jsf-impl,2.1.7,-,2013-11-27
jsf-impl,2.1.7,+,2013-11-27
primefaces,4.0,-,2013-11-27
primefaces,4.0,+,2013-10-28
primefaces,4.0,+,2013-11-27
hibernate-entitymanager,4.2.7.Final,+,2013-11-27
hibernate-entitymanager,4.2.7.Final,-,2013-11-27
hibernate-entitymanager,4.2.7.Final,+,2013-11-13
jta,1.1,+,2013-12-04
gson,2.2.4,-,2013-11-27
gson,2.2.4,+,2013-10-30
gson,2.2.4,+,2013-11-27
el-ri,1.0,-,2013-11-27
el-ri,1.0,+,2013-11-27
maven-antrun-plugin,1.7,+,2013-11-27
maven-antrun-plugin,1.7,+,2013-10-25
maven-antrun-plugin,1.7,-,2013-11-27
httpclient,4.0-beta1,+,2013-12-11
httpclient,4.0-alpha4,+,2013-12-11
servlet-api,2.5,-,2013-11-27
servlet-api,2.5,+,2013-11-27
log4j,1.2.17,+,2013-12-04
