library,version,sign,date
commons-codec,1.4,-,2017-07-27
commons-codec,1.6,+,2015-05-20
common,1.0.3-SNAPSHOT,+,2013-10-28
common,1.1.3,-,2014-06-09
common,1.1.4,-,2014-10-15
common,1.1.1-SNAPSHOT,-,2014-01-23
common,1.2.0,-,2014-12-22
common,1.2.3,-,2015-05-20
common,0.1-SNAPSHOT,-,2013-03-06
common,1.2.1-SNAPSHOT,-,2014-12-22
common,1.1.2-SNAPSHOT,+,2014-03-20
common,1.1.3-SNAPSHOT,-,2014-05-14
common,1.1.0,+,2013-12-30
common,1.0.3-SNAPSHOT,+,2013-09-16
common,1.1.3-SNAPSHOT,+,2014-05-14
common,1.0.3-SNAPSHOT,-,2013-12-30
common,1.1.2-SNAPSHOT,-,2014-03-03
common,1.0.3-SNAPSHOT,+,2013-08-29
common,1.2.2-SNAPSHOT,-,2015-02-12
common,1.1.3-SNAPSHOT,-,2014-03-20
common,1.1.2,-,2014-03-20
common,1.1.5-SNAPSHOT,-,2014-10-15
common,1.1.4-SNAPSHOT,-,2014-06-09
common,1.2.1,-,2015-02-12
common,1.2.0,-,2015-02-12
common,1.1.1,-,2014-02-12
common,1.1.2-SNAPSHOT,-,2014-05-01
common,1.1.0,-,2014-01-23
common,0.1-SNAPSHOT,-,2013-08-29
common,1.2.2,-,2015-05-20
common,1.2.3-SNAPSHOT,-,2015-05-20
common,1.0.3-SNAPSHOT,-,2013-11-11
common,0.1-SNAPSHOT,+,2013-03-06
common,1.2.0,+,2014-12-22
common,1.1.3-SNAPSHOT,-,2014-12-22
jedis,2.0.0,+,2014-03-20
trove4j,3.0.1,-,2017-07-27
trove4j,3.0.1,+,2014-03-20
trove4j,3.0.1,-,2013-11-11
trove4j,3.0.1,+,2013-10-28
trove4j,3.0.1,+,2013-12-30
trove4j,3.0.2,+,2015-05-20
lap,1.1.4,+,2014-06-09
lap,1.1.3,-,2014-06-09
lap,1.1.4,-,2014-10-15
lap,1.1.1-SNAPSHOT,-,2014-01-23
lap,1.2.0,-,2014-12-22
lap,1.2.3,-,2015-05-20
lap,1.2.1-SNAPSHOT,-,2014-12-22
lap,1.1.3-SNAPSHOT,-,2014-05-14
lap,1.1.2,-,2014-06-09
lap,1.0.3-SNAPSHOT,+,2013-09-16
lap,1.0.3-SNAPSHOT,-,2013-12-30
lap,1.1.2-SNAPSHOT,-,2014-03-03
lap,1.2.2-SNAPSHOT,-,2015-02-12
lap,1.1.3-SNAPSHOT,-,2014-03-20
lap,1.1.2,-,2014-03-20
lap,1.1.5-SNAPSHOT,-,2014-10-15
lap,1.1.4-SNAPSHOT,-,2014-06-09
lap,1.2.1,-,2015-02-12
lap,1.2.0,-,2015-02-12
lap,1.1.1,-,2014-02-12
lap,1.1.2-SNAPSHOT,-,2014-05-01
lap,1.1.2,+,2014-05-01
lap,1.1.0,-,2014-01-23
lap,0.1-SNAPSHOT,-,2013-08-29
lap,1.2.2,-,2015-05-20
lap,1.2.3-SNAPSHOT,-,2015-05-20
lap,1.2.0,+,2014-12-22
guava,15.0,+,2013-10-28
guava,15.0,+,2013-12-30
guava,15.0,-,2013-12-09
guava,15.0,+,2013-11-12
guava,15.0,-,2013-11-11
redis,1.1.3-SNAPSHOT,-,2014-05-14
redis,1.1.2-SNAPSHOT,-,2014-05-01
redis,1.1.3,-,2014-06-09
redis,1.1.4,-,2014-10-15
redis,1.2.2,-,2015-05-20
redis,1.2.3-SNAPSHOT,-,2015-05-20
redis,1.2.0,-,2014-12-22
redis,1.2.2-SNAPSHOT,-,2015-02-12
redis,1.1.5-SNAPSHOT,-,2014-10-15
redis,1.2.3,-,2015-05-20
redis,1.1.4-SNAPSHOT,-,2014-06-09
redis,1.2.1,-,2015-02-12
redis,1.2.1-SNAPSHOT,-,2014-12-22
redis,1.1.2-SNAPSHOT,+,2014-03-20
embedded-redis,20131205,+,2013-12-01
embedded-redis,20131205,+,2014-03-20
embedded-redis,0.5,-,2013-12-01
embedded-redis,0.5,+,2013-11-29
embedded-redis,20131205,-,2013-12-09
embedded-redis,20131205,+,2013-12-30
weka-stable,3.6.9,-,2017-07-27
weka-stable,3.6.11,-,2015-05-20
weka-stable,3.6.9,+,2013-11-11
weka-stable,3.6.11,+,2014-12-22
weka-stable,3.6.9,+,2013-08-29
weka-stable,3.6.9,+,2015-05-20
weka-stable,3.6.9,-,2015-05-20
