library,version,sign,date
junit,4.11,-,2016-02-23
junit,4.10,-,2012-12-05
junit,4.10,-,2013-06-19
junit,4.8.2,-,2012-02-22
junit,4.11,+,2013-06-19
junit,4.11,+,2016-02-23
junit,4.10,+,2012-12-05
jackson-mapper-asl,1.9.5,-,2012-12-05
jackson-mapper-asl,1.9.2,-,2012-02-22
jackson-mapper-asl,1.9.5,+,2012-12-05
jackson-mapper-asl,1.8.5,-,2011-11-25
jackson-mapper-asl,1.9.5,-,2013-06-19
scribe,1.3.0,+,2012-12-05
scribe,1.2.2,-,2011-11-25
scribe,1.3.5,-,2016-02-23
scribe,1.3.0,-,2012-12-05
scribe,1.3.5,+,2013-06-19
scribe,1.3.0,-,2013-06-19
scribe,1.3.5,+,2016-02-23
