library,version,sign,date
maven3-snapshots,2.1.0-SNAPSHOT,-,2011-06-20
maven3-snapshots,2.1.0,-,2011-07-22
maven3-snapshots,2.1.0-BETA-1,-,2011-06-20
maven3-snapshots,2.1.2,-,2011-10-06
maven3-snapshots,2.1.0-BETA-1,-,2011-06-21
maven3-snapshots,2.1.0-SNAPSHOT,-,2011-06-13
maven3-snapshots,2.1.0-SNAPSHOT,-,2011-06-22
maven3-snapshots,2.1.0-BETA-1,+,2011-06-20
maven3-snapshots,2.1.2-SNAPSHOT,-,2011-09-29
maven3-snapshots,2.1.2-SNAPSHOT,-,2011-10-12
maven3-snapshots,2.1.1,-,2011-08-25
maven3-snapshots,2.2.0-SNAPSHOT,-,2011-10-10
maven3-snapshots,2.1.2,-,2011-12-01
maven3-snapshots,2.1.1-SNAPSHOT,-,2011-08-18
maven3-snapshots,2.1.0-SNAPSHOT,+,2011-06-12
maven3-snapshots,2.1.2-SNAPSHOT,-,2011-10-07
maven3-snapshots,2.2.0-SNAPSHOT,-,2011-10-28
maven3-snapshots,2.2.0-SNAPSHOT,-,2011-10-06
maven3-snapshots,2.1.0-SNAPSHOT ,-,2011-06-21
maven-plugin,2.2.0-SNAPSHOT,+,2011-11-11
maven-plugin,2.1.0-SNAPSHOT,-,2011-06-20
maven-plugin,2.1.0,-,2011-07-22
maven-plugin,2.1.0-BETA-1,-,2011-06-20
maven-plugin,2.1.2,-,2011-10-06
maven-plugin,2.1.0-BETA-1,-,2011-06-21
maven-plugin,1.397-SNAPSHOT,+,2011-02-25
maven-plugin,2.1.0-SNAPSHOT,-,2011-06-22
maven-plugin,2.1.2-SNAPSHOT,+,2011-10-06
maven-plugin,2.2.0-SNAPSHOT,+,2011-10-07
maven-plugin,2.1.2-SNAPSHOT,-,2011-09-29
maven-plugin,2.1.2,+,2011-09-29
maven-plugin,1.398,-,2011-03-11
maven-plugin,2.2.0,+,2011-12-01
maven-plugin,2.1.2,+,2011-10-26
maven-plugin,1.398-SNAPSHOT,-,2011-03-09
maven-plugin,2.1.2,-,2011-11-11
maven-plugin,2.1.1-SNAPSHOT,-,2011-08-18
maven-plugin,2.2.0-SNAPSHOT,-,2011-12-01
maven-plugin,2.1.2-SNAPSHOT,-,2011-10-07
maven-plugin,2.1.2-SNAPSHOT,+,2011-08-25
maven-plugin,2.2.0_1,+,2011-12-26
maven-plugin,2.1.0-SNAPSHOT ,-,2011-06-21
maven-plugin,2.2.0-SNAPSHOT,-,2011-10-26
maven-plugin,2.0.0,-,2011-04-20
maven-plugin,2.2.0-SNAPSHOT,+,2011-10-12
maven-plugin,2.1.2-SNAPSHOT,+,2011-10-10
maven-plugin,2.2.0,-,2011-12-08
maven-plugin,1.397-SNAPSHOT,-,2011-03-02
maven-plugin,1.399-SNAPSHOT,-,2011-03-19
maven-plugin,2.1.2,+,2011-10-12
maven-plugin,2.2.0_1,-,2012-04-18
maven-plugin,2.1.2-SNAPSHOT,-,2011-10-12
maven-plugin,2.1.2-SNAPSHOT,-,2011-08-25
maven-plugin,2.1.1,-,2011-08-25
maven-plugin,2.2.1-SNAPSHOT,+,2011-12-08
maven-plugin,2.2.0-SNAPSHOT,-,2011-10-10
maven-plugin,2.2.1-SNAPSHOT,-,2011-12-26
maven-plugin,2.1.2,-,2011-10-12
maven-plugin,2.0.0-SNAPSHOT,-,2011-04-11
maven-plugin,2.0.1,-,2011-05-30
maven-plugin,2.0.1-SNAPSHOT,-,2011-05-11
slf4j-jdk14,1.6.1,+,2011-02-17
slf4j-jdk14,1.6.1,+,2011-08-25
slf4j-jdk14,1.6.1,-,2011-08-25
slf4j-jdk14,1.6.1,-,2011-02-21
slf4j-jdk14,1.6.1,+,2011-02-21
maven3-plugin,2.1.0-BETA-1,-,2011-06-20
maven3-plugin,2.1.0-BETA-1,-,2011-06-21
maven3-plugin,2.1.2,-,2011-12-01
maven3-plugin,2.1.2-SNAPSHOT,-,2011-10-07
maven3-plugin,2.2.0-SNAPSHOT,-,2011-10-28
maven3-plugin,2.1.0-SNAPSHOT ,-,2011-06-21
maven3-plugin,2.1.0-SNAPSHOT,-,2011-06-13
maven3-plugin,2.1.2-SNAPSHOT,-,2011-10-12
maven3-plugin,2.1.0-SNAPSHOT,+,2011-06-12
maven3-plugin,2.1.0-SNAPSHOT,-,2011-06-20
maven3-plugin,2.1.0,-,2011-07-22
maven3-plugin,2.1.2,-,2011-10-06
maven3-plugin,2.1.0-SNAPSHOT,-,2011-06-22
maven3-plugin,2.1.0-BETA-1,+,2011-06-20
maven3-plugin,2.1.2-SNAPSHOT,-,2011-09-29
maven3-plugin,2.1.1-SNAPSHOT,-,2011-08-18
maven3-plugin,2.2.0-SNAPSHOT,-,2011-10-06
maven3-plugin,2.1.1,-,2011-08-25
maven3-plugin,2.2.0-SNAPSHOT,-,2011-10-10
rest-plugin,2.1.2,-,2012-04-18
rest-plugin,2.1.0-SNAPSHOT,-,2011-06-20
rest-plugin,2.1.0,-,2011-07-22
rest-plugin,2.1.0-BETA-1,-,2011-06-20
rest-plugin,2.1.2,-,2011-10-06
rest-plugin,2.1.0-BETA-1,-,2011-06-21
rest-plugin,2.1.0-SNAPSHOT,-,2011-06-22
rest-plugin,2.1.2-SNAPSHOT,+,2011-10-06
rest-plugin,2.2.0-SNAPSHOT,+,2011-12-08
rest-plugin,2.2.0-SNAPSHOT,+,2011-10-07
rest-plugin,2.1.0-BETA-1,+,2011-06-20
rest-plugin,2.1.2,+,2011-12-26
rest-plugin,2.1.2,-,2011-12-08
rest-plugin,2.1.2-SNAPSHOT,-,2011-09-29
rest-plugin,2.1.2,+,2011-09-29
rest-plugin,2.1.2,+,2011-10-26
rest-plugin,2.1.1-SNAPSHOT,-,2011-08-18
rest-plugin,2.1.2-SNAPSHOT,-,2011-10-07
rest-plugin,2.1.2-SNAPSHOT,+,2011-08-25
rest-plugin,2.2.0-SNAPSHOT,-,2011-10-28
rest-plugin,2.2.0-SNAPSHOT,-,2011-10-06
rest-plugin,2.2.0-SNAPSHOT,-,2011-12-26
rest-plugin,2.1.0-SNAPSHOT ,-,2011-06-21
rest-plugin,2.2.0-SNAPSHOT,-,2011-10-26
rest-plugin,2.2.0-SNAPSHOT,+,2011-10-12
rest-plugin,2.1.2-SNAPSHOT,+,2011-10-10
rest-plugin,2.1.2,+,2011-10-12
rest-plugin,2.1.2-SNAPSHOT,-,2011-10-12
rest-plugin,2.1.2-SNAPSHOT,-,2011-08-25
rest-plugin,2.1.1,-,2011-08-25
rest-plugin,2.2.0-SNAPSHOT,-,2011-10-10
rest-plugin,2.1.2,-,2011-10-12
rest-plugin,2.1.0-SNAPSHOT,+,2011-06-12
hudson-core,2.1.0-SNAPSHOT,-,2011-06-20
hudson-core,2.1.0,-,2011-07-22
hudson-core,2.2.1-SNAPSHOT,-,2012-04-18
hudson-core,2.1.0-BETA-1,-,2011-06-20
hudson-core,2.1.2,-,2011-10-06
hudson-core,2.1.0-BETA-1,-,2011-06-21
hudson-core,1.397-SNAPSHOT,+,2011-02-25
hudson-core,2.1.0-SNAPSHOT,-,2011-06-22
hudson-core,2.1.2-SNAPSHOT,+,2011-10-06
hudson-core,2.2.0-SNAPSHOT,+,2011-10-07
hudson-core,2.2.0,+,2011-12-06
hudson-core,2.1.2-SNAPSHOT,-,2011-09-29
hudson-core,2.2.0-SNAPSHOT,-,2011-12-06
hudson-core,2.1.2,+,2011-09-29
hudson-core,1.398,-,2011-03-11
hudson-core,2.1.2,+,2011-10-26
hudson-core,1.398-SNAPSHOT,-,2011-03-09
hudson-core,2.1.1-SNAPSHOT,-,2011-08-18
hudson-core,2.1.2-SNAPSHOT,-,2011-10-07
hudson-core,2.1.2-SNAPSHOT,+,2011-08-25
hudson-core,2.1.0-SNAPSHOT ,-,2011-06-21
hudson-core,2.2.0-SNAPSHOT,-,2011-10-26
hudson-core,2.2.0-SNAPSHOT,+,2011-10-31
hudson-core,2.0.0,-,2011-04-20
hudson-core,2.2.0-SNAPSHOT,+,2011-10-12
hudson-core,2.1.2-SNAPSHOT,+,2011-10-10
hudson-core,2.2.0,-,2011-12-08
hudson-core,1.397-SNAPSHOT,-,2011-03-02
hudson-core,1.399-SNAPSHOT,-,2011-03-19
hudson-core,2.1.2,+,2011-10-12
hudson-core,2.1.2-SNAPSHOT,-,2011-10-12
hudson-core,2.1.2-SNAPSHOT,-,2011-08-25
hudson-core,2.1.1,-,2011-08-25
hudson-core,2.2.1-SNAPSHOT,+,2011-12-08
hudson-core,2.2.0-SNAPSHOT,-,2011-10-10
hudson-core,2.1.2,-,2011-10-12
hudson-core,2.0.0-SNAPSHOT,-,2011-04-11
hudson-core,2.1.2,-,2011-10-31
hudson-core,2.0.1,-,2011-05-30
hudson-core,2.0.1-SNAPSHOT,-,2011-05-11
servlet-api,2.4,+,2011-08-10
servlet-api,2.4,+,2011-06-10
servlet-api,2.4,+,2011-08-25
servlet-api,2.4,+,2011-05-30
servlet-api,2.4,-,2011-08-25
servlet-api,2.4,+,2011-02-25
servlet-api,2.4,+,2011-02-22
servlet-api,2.4,+,2011-02-10
servlet-api,2.4,-,2011-02-25
servlet-api,2.4,-,2011-02-22
servlet-api,2.4,-,2011-08-10
servlet-api,2.4,-,2011-02-10
servlet-api,2.4,-,2011-05-30
