library,version,sign,date
metrics-core,3.2.2,-,2017-10-28
metrics-core,3.2.2,+,2017-02-27
slf4j-api,1.7.25,+,2018-11-13
slf4j-api,1.7.21,+,2016-04-15
slf4j-api,1.7.25,+,2018-09-18
slf4j-api,1.7.21,+,2016-10-24
slf4j-api,1.7.21,-,2017-02-27
slf4j-api,1.7.21,-,2016-10-31
slf4j-api,1.7.21,+,2016-10-31
slf4j-api,1.7.21,-,2016-10-24
slf4j-api,1.7.25,-,2018-11-13
rolling-metrics,2.0.2,-,2017-10-28
rolling-metrics,2.0.2,+,2017-07-09
firefly-common,4.0.2,-,2016-05-06
firefly-common,1.0-SNAPSHOT,-,2012-03-12
firefly-common,4.0.4-SNAPSHOT,-,2016-07-28
firefly-common,4.0.3.2,-,2016-07-28
firefly-common,4.0.1-SNAPSHOT,-,2016-04-15
firefly-common,4.0.1-SNAPSHOT,-,2016-04-17
firefly-common,4.0.3.2-SNAPSHOT,-,2016-05-13
firefly-common,4.0.1-SNAPSHOT,+,2012-03-12
firefly-common,4.0.3-SNAPSHOT,-,2016-05-11
firefly-common,3.0.4.5,+,2012-03-12
firefly-common,3.0.4.5,-,2017-02-09
firefly-common,3.0.4,+,2012-03-12
firefly-common,3.0.4,-,2017-02-09
commons-dbutils,1.6,+,2017-07-03
commons-dbutils,1.6,-,2016-10-31
commons-dbutils,1.6,-,2017-08-15
commons-dbutils,1.6,-,2017-07-03
commons-dbutils,1.6,+,2016-10-31
HdrHistogram,2.1.9,+,2017-07-09
HdrHistogram,2.1.9,-,2017-10-28
h2,1.4.196,-,2018-11-13
h2,1.4.196,+,2017-06-28
h2,1.4.191,-,2017-06-28
h2,1.4.196,+,2018-11-13
h2,1.4.191,+,2016-10-31
h2,1.4.191,+,2012-03-12
h2,1.4.196,+,2018-09-18
h2,1.4.191,-,2016-10-31
firefly-slf4j,4.9.0,-,2018-03-31
firefly-slf4j,4.0.2,-,2016-05-06
firefly-slf4j,4.9.2,-,2018-10-17
firefly-slf4j,4.4.0,-,2017-08-12
firefly-slf4j,4.7.0,-,2018-01-12
firefly-slf4j,4.9.4,-,2018-11-19
firefly-slf4j,4.0.3.2,-,2016-07-28
firefly-slf4j,4.0.25,-,2017-05-07
firefly-slf4j,4.9.3,-,2018-11-13
firefly-slf4j,4.3.1,-,2017-07-09
firefly-slf4j,4.8.0,-,2018-03-31
firefly-slf4j,4.0.3.2-SNAPSHOT,-,2016-05-13
firefly-slf4j,4.9.1,-,2018-10-16
firefly-slf4j,4.6.1,-,2017-12-04
firefly-slf4j,4.0.3-SNAPSHOT,-,2016-05-11
firefly-slf4j,4.7.0,-,2017-11-20
firefly-slf4j,4.0.26,-,2017-06-08
firefly-slf4j,4.6.0,-,2017-11-20
firefly-slf4j,4.3.0,-,2017-07-07
firefly-slf4j,4.2.0,-,2017-06-15
firefly-slf4j,4.5.0,-,2017-10-28
firefly-slf4j,4.0.21,+,2017-02-09
firefly-slf4j,4.0.22,-,2017-04-24
firefly-slf4j,4.0.1-SNAPSHOT,+,2016-04-15
firefly-slf4j,4.1.0,-,2017-06-08
firefly-slf4j,4.0.4-SNAPSHOT,-,2016-07-28
firefly-slf4j,4.0.1-SNAPSHOT,-,2016-04-17
firefly-slf4j,4.9.0,-,2018-07-05
firefly-slf4j,4.0.21,-,2017-04-01
firefly-slf4j,4.0.23,-,2017-05-06
firefly-slf4j,4.8.1,-,2018-06-12
HikariCP,3.2.0,+,2018-09-18
HikariCP,2.5.1,+,2016-10-31
HikariCP,3.2.0,-,2018-11-13
HikariCP,2.7.2,-,2018-01-12
HikariCP,2.5.1,-,2017-06-28
HikariCP,3.2.0,+,2018-11-13
HikariCP,2.4.5,-,2016-10-24
HikariCP,2.6.3,+,2017-06-28
HikariCP,2.4.5,+,2012-03-12
HikariCP,2.7.8,-,2018-03-31
HikariCP,2.5.1,-,2016-10-31
HikariCP,3.1.0,-,2018-07-13
HikariCP,2.6.3,-,2017-08-22
