library,version,sign,date
neo4j-kernel,2.0-SNAPSHOT,-,2013-02-14
neo4j-kernel,1.8-SNAPSHOT,-,2012-07-27
neo4j-kernel,2.0.0-M02,-,2013-06-17
neo4j-kernel,1.9-SNAPSHOT,-,2012-10-01
neo4j-kernel,1.9.M04,-,2013-01-25
neo4j-kernel,2.0.0-M03,-,2013-06-18
neo4j-kernel,1.8.M07,-,2012-08-22
neo4j-kernel,2.0.1,-,2014-02-06
neo4j-kernel,1.9.M02,-,2012-12-19
objenesis,1.0,+,2012-07-23
neo4j,2.1.5,+,2014-10-20
neo4j,1.8-SNAPSHOT,-,2012-07-27
neo4j,1.9-SNAPSHOT,-,2012-10-01
neo4j,1.9.M04,-,2013-01-25
neo4j,2.0.0-M03,-,2013-06-18
neo4j,2.0.1,+,2014-10-20
neo4j,2.0.1,-,2014-10-20
neo4j,2.0.1,+,2014-02-06
neo4j,2.1.5,+,2014-02-08
neo4j,2.0-SNAPSHOT,-,2013-02-14
neo4j,2.0.0-M02,-,2013-06-17
neo4j,2.1.5,-,2014-10-20
neo4j,2.0.1,-,2014-02-08
neo4j,1.8.M07,-,2012-08-22
neo4j,2.0.1,-,2014-02-06
neo4j,1.9.M02,-,2012-12-19
mockito-core,1.9.0,+,2012-07-23
