library,version,sign,date
jmockit,1.10,+,2016-02-24
jmockit,1.33,-,2018-04-20
jmockit,1.33,-,2018-04-04
jmockit,1.10,-,2017-07-28
jmockit,1.33,+,2018-04-04
imagej-common,0.26.1,+,2018-05-13
imagej-common,0.27.0,+,2018-10-24
imagej-common,0.28.0,+,2018-11-04
imagej-common,0.28.0,-,2018-12-04
imagej-common,0.27.0,-,2018-11-04
imagej-common,0.26.1,-,2018-05-25
scifio,0.36.0,-,2018-05-25
scifio,0.36.0,+,2018-05-14
omero-blitz,5.4.3-ice36-b77,+,2017-10-05
omero-blitz,5.4.3-ice36-b77,-,2018-04-05
imglib2-roi,0.5.0,+,2018-02-14
imglib2-roi,0.5.0,-,2018-02-14
imglib2-roi,0.7.0,-,2018-12-04
imglib2-roi,0.7.0,+,2018-08-27
glacier2,${ice.version},+,2019-06-14
scijava-common,2.73.1,-,2018-05-25
scijava-common,2.73.1,+,2018-05-13
ice,3.6.4,+,2019-06-14
commons-lang,2.6,-,2018-04-05
commons-lang,2.6,+,2017-07-25
