library,version,sign,date
freemarker,2.3.19,+,2015-04-01
rhino,1.7R5,-,2017-12-14
rhino,1.7.7.2,+,2017-12-14
rhino,1.7R5,+,2015-04-01
rhino,1.7R5,-,2015-04-01
commons-cli,1.2,-,2018-12-22
commons-cli,1.4,+,2018-12-22
commons-cli,1.2,+,2015-04-01
commons-cli,1.2,-,2015-04-01
jackson-databind,2.4.2,-,2015-04-01
jackson-databind,2.2.3,-,2015-04-01
jackson-core,2.4.2,-,2015-04-01
galen-rainbow4j,1.6.5-SNAPSHOT,-,2015-07-24
galen-rainbow4j,1.6.4-SNAPSHOT,-,2015-05-11
galen-rainbow4j,1.6.2-SNAPSHOT,+,2015-03-29
galen-rainbow4j,1.6.3-SNAPSHOT,-,2015-04-21
galen-rainbow4j,1.6.2-SNAPSHOT,-,2015-03-30
galen-rainbow4j,1.6.3-SNAPSHOT,-,2015-04-01
gson,2.3.1,-,2015-04-01
gson,2.3,-,2017-11-19
gson,2.3,+,2015-04-01
gson,2.8.5,+,2018-05-26
commons-lang3,3.0.1,-,2018-12-22
commons-lang3,3.0.1,+,2015-03-29
commons-lang3,3.0.1,-,2015-04-01
commons-lang3,3.8.1,+,2018-12-22
commons-lang3,3.0.1,+,2015-04-01
testng,6.7,+,2015-04-01
testng,6.7,-,2015-04-01
testng,6.7,+,2015-03-29
commons-io,2.4,-,2018-12-22
commons-io,2.6,+,2018-12-22
