library,version,sign,date
spring-js-resources,2.2.1.RELEASE,+,2013-04-09
spring-js-resources,2.2.1.RELEASE,-,2013-04-09
validation-api,1.0.0.GA,+,2013-04-09
validation-api,1.0.0.GA,-,2013-04-09
jsp-api,2.1,-,2013-04-09
jsp-api,2.1,+,2013-04-09
commons-dbcp,1.3,-,2013-04-09
commons-dbcp,1.3,+,2013-04-09
commons-codec,1.5,-,2013-04-09
commons-codec,1.5,+,2013-04-09
hibernate-validator,4.3.1.Final,-,2013-04-09
hibernate-validator,4.3.1.Final,+,2013-04-09
el-api,2.2,-,2013-04-09
el-api,2.2,+,2013-04-09
jta,1.1,-,2013-04-09
jta,1.1,+,2013-04-09
hibernate-entitymanager,4.1.8.Final,+,2013-04-09
hibernate-entitymanager,4.1.8.Final,-,2013-04-09
flexjson,2.1,-,2013-04-09
flexjson,2.1,+,2013-04-09
log4j,1.2.16,-,2013-04-09
log4j,1.2.16,+,2013-04-09
hibernate-jpa-2.0-api,1.0.1.Final,-,2013-04-09
hibernate-jpa-2.0-api,1.0.1.Final,+,2013-04-09
commons-pool,1.5.6,+,2013-04-09
commons-pool,1.5.6,-,2013-04-09
junit,4.10,+,2013-04-09
junit,4.10,-,2013-04-09
cglib-nodep,2.2.2,+,2013-04-09
cglib-nodep,2.2.2,-,2013-04-09
hsqldb,2.2.9,+,2013-04-09
hsqldb,2.2.9,-,2013-04-09
joda-time,1.6,+,2013-04-09
joda-time,1.6,-,2013-04-09
commons-collections,3.2.1,+,2013-04-09
commons-collections,3.2.1,-,2013-04-09
jstl-impl,1.2,+,2013-04-09
jstl-impl,1.2,-,2013-04-09
hibernate-core,4.1.8.Final,+,2013-04-09
hibernate-core,4.1.8.Final,-,2013-04-09
jstl-api,1.2,+,2013-04-09
jstl-api,1.2,-,2013-04-09
commons-digester,2.1,-,2013-04-09
commons-digester,2.1,+,2013-04-09
commons-lang3,3.1,+,2013-04-09
commons-lang3,3.1,-,2013-04-09
commons-fileupload,1.2.2,+,2013-04-09
commons-fileupload,1.2.2,-,2013-04-09
tiles-jsp,2.2.2,+,2013-04-09
tiles-jsp,2.2.2,-,2013-04-09
servlet-api,2.5,-,2013-04-09
servlet-api,2.5,+,2013-04-09
