library,version,sign,date
smackx,3.2.1,+,2014-05-29
smackx,3.2.1,+,2013-08-28
smackx,3.2.1,-,2014-05-29
mail,1.4,+,2014-05-29
mail,1.4,-,2014-05-29
mail,1.4,+,2013-11-12
commons-io,1.3.2,-,2014-05-29
commons-io,1.3.2,+,2014-05-29
commons-io,1.3.2,-,2013-10-12
dom4j,1.6.1,-,2014-05-29
dom4j,1.6.1,+,2014-05-29
dom4j,1.6.1,+,2014-01-24
commons-lang,2.4,+,2014-05-29
commons-lang,2.4,-,2014-05-29
rsyntaxtextarea,2.5.0,+,2014-05-29
rsyntaxtextarea,2.5.0,-,2014-05-29
rsyntaxtextarea,2.5.0,+,2014-02-17
jettison,1.3.4,-,2014-05-29
jettison,1.3.4,+,2013-09-04
jettison,1.3.4,+,2014-05-29
jsch,0.1.50,+,2014-05-29
jsch,0.1.50,+,2013-09-05
jsch,0.1.50,-,2014-05-29
log4j,1.2.17,+,2014-05-29
log4j,1.2.17,-,2014-05-29
log4j,1.2.17,-,2013-08-19
junit,4.11,+,2013-08-13
junit,4.11,-,2014-05-29
junit,4.11,+,2014-05-29
jetty-servlet,9.1.0.M0,-,2014-05-29
jetty-servlet,9.1.0.M0,+,2014-05-29
jetty-servlet,9.1.0.M0,+,2013-09-18
batik-swing,1.7,-,2014-05-29
batik-swing,1.6-1,+,2013-09-15
batik-swing,1.7,+,2014-05-29
batik-swing,1.6-1,-,2013-10-09
batik-swing,1.6-1,+,2013-09-25
smack,3.2.1,+,2013-08-20
smack,3.2.1,+,2014-05-29
smack,3.2.1,-,2014-05-29
quartz,2.2.1,+,2014-05-29
quartz,2.2.1,-,2014-05-29
quartz,2.2.1,+,2014-03-13
batik-codec,1.7,-,2014-05-29
batik-codec,1.7,+,2013-11-06
batik-codec,1.7,+,2014-05-29
jetty-server,9.1.0.M0,-,2014-05-29
jetty-server,9.1.0.M0,+,2014-05-29
jetty-server,9.1.0.M0,+,2013-09-18
commons-collections,3.2.1,+,2014-05-29
commons-collections,3.2.1,+,2013-08-28
commons-collections,3.2.1,-,2014-05-29
jsoup,1.7.2,+,2014-05-29
jsoup,1.7.2,-,2014-05-29
jsoup,1.7.2,+,2013-09-24
quartz-jobs,2.2.1,+,2014-05-29
quartz-jobs,2.2.1,-,2014-05-29
quartz-jobs,2.2.1,+,2014-03-13
antlr4,4.2,-,2014-05-29
antlr4,4.1,-,2014-04-17
antlr4,4.2,+,2014-05-29
groovy,2.1.6,+,2013-08-31
groovy,2.1.6,-,2014-05-29
groovy,2.1.6,+,2014-05-29
xstream,1.4.4,+,2013-09-04
xstream,1.4.4,-,2014-05-29
xstream,1.4.4,+,2014-05-29
solr-commons-csv,3.5.0,+,2013-10-12
solr-commons-csv,3.5.0,-,2014-05-29
solr-commons-csv,3.5.0,+,2014-05-29
activation,1.1,+,2014-05-29
activation,1.1,+,2013-11-12
activation,1.1,-,2014-05-29
httpclient,4.3,-,2014-05-29
httpclient,4.3,+,2014-05-29
httpclient,4.3,+,2013-09-22
