library,version,sign,date
slf4j-api,1.5.10,+,2011-04-03
slf4j-api,1.5.10,-,2010-07-19
slf4j-api,1.6.4,+,2012-04-16
slf4j-api,1.7.6,-,2019-09-21
slf4j-api,1.7.5,-,2016-12-22
slf4j-api,1.5.10,+,2012-04-16
slf4j-api,1.5.10,-,2011-08-09
slf4j-api,1.5.10,-,2011-04-03
slf4j-api,1.5.10,-,2012-07-25
slf4j-api,1.5.10,-,2013-05-15
slf4j-api,1.7.6,+,2015-01-22
slf4j-api,1.5.10,-,2012-04-24
slf4j-api,1.6.4,-,2013-05-15
slf4j-api,1.5.10,-,2012-04-16
slf4j-api,1.7.5,-,2014-01-07
slf4j-api,1.5.10,-,2010-11-19
slf4j-api,1.7.5,+,2013-05-15
slf4j-api,1.5.10,-,2010-11-17
junit,4.12,+,2019-06-28
junit,4.11,+,2018-03-16
junit,4.11,-,2017-01-14
junit,4.8.2,-,2016-09-29
junit,4.8.2,+,2015-01-22
junit,4.8.1,+,2014-01-07
junit,4.8.1,-,2011-08-09
junit,4.8.2,+,2011-04-03
junit,3.8.1,+,2011-04-03
junit,4.11,-,2016-09-29
junit,4.8.2,+,2011-08-09
junit,4.12,-,2019-09-21
junit,4.8.1,-,2014-01-07
junit,4.11,-,2018-10-19
junit,4.8.1,-,2012-04-16
junit,4.8.2,+,2012-04-16
junit,4.8.1,+,2010-07-19
junit,3.8.1,-,2011-04-03
junit,4.13,+,2019-09-21
junit,4.11,-,2018-08-29
junit,4.11,+,2016-09-29
junit,3.8.1,-,2014-01-07
junit,4.8.2,-,2012-04-16
junit,4.11,+,2017-01-14
junit,4.8.1,-,2016-09-29
junit,3.8.1,+,2010-07-19
junit,4.12,+,2018-08-29
junit,4.8.1,-,2010-07-19
junit,4.11,+,2014-01-07
junit,4.8.2,-,2014-01-07
junit,4.8.2,-,2015-09-17
jackson-databind,2.9.8,-,2019-02-21
jackson-databind,2.9.9,-,2019-06-28
jackson-databind,2.5.0,+,2014-11-21
jackson-databind,2.9.4,-,2018-08-29
jackson-databind,2.9.4,+,2018-02-12
jackson-databind,2.5.0,-,2018-02-12
jackson-databind,2.9.7,-,2018-10-19
jackson-databind,2.9.9.2,-,2019-09-21
jaxen,1.1.1,+,2010-07-19
jaxen,1.1.6,+,2018-07-24
jaxen,1.1.1,-,2013-05-15
jaxen,1.1.1,+,2012-04-16
jaxen,1.1.4,-,2018-07-24
jaxen,1.1.4,-,2019-09-21
jaxen,1.1.6,-,2019-09-21
jaxen,1.1.1,-,2010-07-19
jaxen,1.1.1,-,2012-04-16
commons-lang3,3.8.1,-,2019-06-28
commons-lang3,3.8.1,-,2019-09-21
commons-lang3,3.8.1,+,2019-06-28
commons-lang3,3.8.1,+,2018-08-29
dom4j,1.6.1,-,2018-07-24
dom4j,1.6.1,+,2012-04-16
dom4j,1.6.1,+,2018-07-24
dom4j,1.6.1,+,2010-07-19
dom4j,1.6.1,-,2010-07-19
dom4j,1.6.1,-,2018-10-19
dom4j,1.6.1,-,2012-04-16
