library,version,sign,date
junit,4.8.2,-,2012-02-02
junit,4.8.2,+,2012-01-26
junit,4.8.2,+,2011-05-31
junit,4.8.2,-,2012-01-26
junit,4.8.2,-,2011-05-31
jboss-logging,3.1.0.GA,-,2012-02-02
jboss-logging,3.1.0.Beta1,-,2011-10-17
jboss-logging,3.0.0.Beta6-SNAPSHOT,-,2011-05-16
jboss-logging,3.1.0.Beta2,-,2011-10-21
jboss-logging,3.1.0.CR1,-,2012-01-26
jboss-logging,3.0.0.CR1,-,2011-06-10
jboss-logging,3.0.0.CR1,-,2011-05-31
jboss-logging,3.1.0.GA,+,2012-01-26
jboss-logging,3.0.0.GA,-,2011-09-09
jboss-logging,3.0.0.Beta5-SNAPSHOT,-,2011-04-21
jboss-logging,3.0.0.CR1,+,2011-05-31
jboss-logging-annotations,{version},+,2017-06-02
