library,version,sign,date
grizzly-servlet-webserver,1.9.18-i,+,2013-07-10
grizzly-servlet-webserver,1.9.18-i,-,2013-07-10
jersey-server,1.5-SNAPSHOT,-,2013-07-10
jersey-server,1.5-SNAPSHOT,+,2013-07-10
jersey-server,1.5-SNAPSHOT,-,2015-08-12
restat-api,5.0.3.Final,-,2014-08-21
restat-api,5.2.1.Final,-,2015-08-05
restat-api,6.0.0.Alpha1-SNAPSHOT,-,2014-01-23
restat-api,5.0.0.Final-SNAPSHOT,-,2013-10-11
restat-api,5.1.0.Final,-,2015-04-27
restat-api,5.2.6.Final,-,2015-10-21
restat-api,5.0.2.Final,-,2014-06-02
restat-api,5.2.12.Final,-,2016-01-05
restat-api,5.2.9.Final-SNAPSHOT,-,2015-11-20
restat-api,5.0.0.M7,-,2013-10-22
restat-api,5.1.2.Final-SNAPSHOT,-,2015-05-01
restat-api,5.2.13.Final-SNAPSHOT,-,2016-01-05
restat-api,5.2.10.Final,-,2015-12-23
restat-api,5.1.0.Alpha1-SNAPSHOT,-,2014-02-04
restat-api,5.0.0.Final-SNAPSHOT,-,2013-10-01
restat-api,5.3.1.Final-SNAPSHOT,-,2016-03-02
restat-api,5.2.2.Final-SNAPSHOT,-,2015-08-05
restat-api,5.3.3.Final-SNAPSHOT,-,2016-04-01
restat-api,5.0.1.Final-SNAPSHOT,-,2014-02-18
restat-api,5.0.0.M4-SNAPSHOT,-,2013-07-10
restat-api,5.2.11.Final,-,2015-12-23
restat-api,5.0.0.M9-SNAPSHOT,-,2013-10-22
restat-api,5.2.2.Final,-,2015-08-12
restat-api,5.2.1.Final-SNAPSHOT,-,2015-07-08
restat-api,5.0.0.M5-SNAPSHOT,-,2013-08-16
restat-api,5.0.0.CR3-SNAPSHOT,-,2013-12-10
restat-api,5.3.2.Final-SNAPSHOT,-,2016-03-03
restat-api,5.0.0.M6-SNAPSHOT,-,2013-10-07
restat-api,5.0.0.M6,-,2013-10-11
restat-api,5.2.4.Final,-,2015-09-22
restat-api,5.2.6.Final-SNAPSHOT,-,2015-09-25
restat-api,5.0.4.Final-SNAPSHOT,-,2014-08-21
restat-api,5.2.13.Final,-,2016-01-29
restat-api,5.2.7.Final-SNAPSHOT,-,2015-10-21
restat-api,5.2.5.Final-SNAPSHOT,-,2015-09-22
restat-api,5.0.0.Final,-,2014-01-23
restat-api,5.0.0.CR2-SNAPSHOT,-,2013-11-07
restat-api,5.3.1.Final,-,2016-03-03
restat-api,5.0.0.M8-SNAPSHOT,-,2013-10-22
restat-api,5.3.0.Final,-,2016-03-02
restat-api,5.2.12.Final-SNAPSHOT,-,2015-12-23
restat-api,5.0.0.CR2,-,2013-12-10
restat-api,5.0.3.Final-SNAPSHOT,-,2014-06-02
restat-api,5.2.5.Final,-,2015-09-25
restat-api,5.0.0.CR1,-,2013-11-07
restat-api,5.3.2.Final,-,2016-04-01
restat-api,5.2.10.Final-SNAPSHOT,-,2015-12-15
restat-api,5.2.4.Final-SNAPSHOT,-,2015-09-22
restat-api,5.0.4.Final,-,2014-12-11
restat-api,5.0.2.Final-SNAPSHOT,-,2014-02-26
restat-api,5.1.1.Final,-,2015-05-01
restat-api,5.0.1.Final,-,2014-02-26
restat-api,5.0.0.M8,-,2013-10-22
restat-api,5.2.11.Final-SNAPSHOT,-,2015-12-23
restat-api,5.2.7.Final,-,2015-10-30
restat-api,5.0.0.M7-SNAPSHOT,-,2013-10-21
restat-api,5.0.0.M5,-,2013-10-01
restat-api,5.2.3.Final-SNAPSHOT,-,2015-08-28
restat-api,5.0.0.M4,-,2013-08-16
restat-api,5.2.14.Final,-,2016-02-24
restat-api,5.3.0.Final-SNAPSHOT,-,2016-02-24
restat-api,5.2.8.Final,-,2015-11-20
restat-api,5.2.0.Final,-,2015-07-08
restat-api,5.0.5.Final-SNAPSHOT,-,2014-12-11
restat-api,5.2.8.Final-SNAPSHOT,-,2015-10-30
restat-api,5.2.9.Final,-,2015-12-15
restat-api,5.2.3.Final,-,2015-09-22
restat-api,5.2.14.Final-SNAPSHOT,-,2016-01-29
restat-api,5.1.1.Final-SNAPSHOT,-,2015-04-27
jersey-client,1.5-SNAPSHOT,-,2013-07-10
jersey-client,1.5-SNAPSHOT,+,2013-07-10
jersey-client,1.5-SNAPSHOT,-,2015-08-12
