library,version,sign,date
jbundle-config-dep-main,0.7.10-SNAPSHOT,-,2011-09-19
jbundle-config-dep-main,1.0.1-SNAPSHOT,+,2012-02-08
jbundle-config-dep-main,1.0.10-SNAPSHOT,-,2020-01-23
jbundle-config-dep-main,0.8.0-SNAPSHOT,+,2011-09-20
jbundle-config-dep-main,0.7.9-SNAPSHOT,-,2011-09-13
jbundle-config-dep-main,0.8.0-SNAPSHOT,-,2012-02-08
jbundle-config-dep-main,0.7.7-SNAPSHOT,-,2011-03-07
jbundle-config-dep-main,0.7.9,-,2011-09-19
jbundle-config-dep-main,1.0.1-SNAPSHOT,-,2013-01-15
jbundle-config-dep-main,0.7.7-SNAPSHOT,-,2011-06-08
jbundle-config-dep-main,0.8.0-SNAPSHOT,-,2011-09-20
jbundle-config-dep-main,0.7.8,-,2011-09-13
jbundle-config-dep-main,0.7.8-SNAPSHOT,-,2011-06-09
jbundle-config-dep-main,0.7.8-SNAPSHOT,-,2011-06-08
jbundle-config-dep-main,1.0.10,-,2020-01-23
jbundle-config-dep-main,0.7.7,-,2011-06-09
jbundle-config-dep-main,0.7.7,-,2011-06-08
org.jbundle.model.app.program,1.0.1-SNAPSHOT,-,2013-01-15
org.jbundle.model.app.program,1.0.1-SNAPSHOT,+,2012-02-08
org.jbundle.model.app.program,1.0.10-SNAPSHOT,-,2020-01-23
org.jbundle.model.app.program,0.8.0-SNAPSHOT,+,2012-01-13
org.jbundle.model.app.program,0.8.0-SNAPSHOT,-,2012-01-13
org.jbundle.model.app.program,1.0.10,-,2020-01-23
org.jbundle.model.app.program,0.8.0-SNAPSHOT,+,2011-09-20
org.jbundle.model.app.program,0.8.0-SNAPSHOT,-,2012-02-08
