library,version,sign,date
workflow-cps,1.8,+,2015-06-22
workflow-cps,1.4,-,2015-07-27
workflow-cps,1.8,-,2015-07-27
workflow-support,2.13,+,2017-02-26
workflow-step-api,2.9,+,2017-02-26
matrix-auth,1.3.2,+,2016-02-02
matrix-auth,1.3.2,-,2017-02-26
matrix-project,1.4,+,2014-11-27
matrix-project,1.4,-,2016-02-02
conditional-buildstep,1.3.1,-,2013-10-05
conditional-buildstep,1.3.1,+,2013-08-19
conditional-buildstep,1.3.1,-,2016-02-02
conditional-buildstep,1.3.1,+,2013-08-26
conditional-buildstep,1.3.1,-,2016-04-28
conditional-buildstep,1.3.1,+,2013-08-11
conditional-buildstep,1.3.1,-,2013-08-23
conditional-buildstep,1.3.1,-,2013-08-26
conditional-buildstep,1.3.1,+,2013-10-05
conditional-buildstep,1.3.1,+,2013-08-23
conditional-buildstep,1.3.1,+,2016-04-28
conditional-buildstep,1.3.1,+,2016-02-02
conditional-buildstep,1.3.1,-,2013-08-18
subversion,1.4,-,2009-08-10
subversion,1.25,+,2013-08-08
subversion,[1.4,),-,2010-10-24
subversion,1.4,-,2011-02-18
subversion,1.17,-,2011-07-10
subversion,1.25,+,2013-08-23
subversion,1.25,+,2013-08-26
subversion,1.25,-,2013-08-11
subversion,1.4,+,2009-08-10
subversion,1.25,-,2013-10-05
subversion,1.4,-,2010-01-09
subversion,1.38,-,2016-02-02
subversion,1.25,-,2014-06-01
subversion,[1.17,),+,2011-02-18
subversion,1.25,-,2013-08-08
subversion,1.25,+,2013-10-05
subversion,1.25,+,2013-08-11
subversion,1.25,-,2013-08-26
subversion,[1.17,),-,2011-03-28
subversion,1.25,-,2013-08-23
subversion,1.4,+,2009-08-01
workflow-durable-task-step,2.9,+,2017-02-26
token-macro,1.10,+,2017-07-12
script-security,1.25,+,2017-07-12
mockito-core,1.8.5,+,2013-08-23
mockito-core,1.8.5,+,2013-08-11
mockito-core,1.8.5,+,2013-10-05
mockito-core,1.8.5,-,2013-08-08
mockito-core,1.8.5,+,2011-08-06
mockito-core,1.8.5,+,2016-02-02
mockito-core,1.8.5,-,2013-08-26
mockito-core,1.8.5,-,2013-08-23
mockito-core,1.8.5,-,2013-08-11
mockito-core,1.8.5,-,2016-02-02
mockito-core,1.8.5,-,2012-11-24
mockito-core,1.8.5,+,2013-08-26
mockito-core,1.8.5,-,2013-10-05
mockito-core,1.8.5,+,2012-11-24
mockito-core,1.8.5,+,2013-08-08
workflow-basic-steps,1.4,-,2015-07-27
workflow-basic-steps,1.8,-,2015-07-27
workflow-basic-steps,1.8,+,2015-07-24
workflow-job,1.8,+,2015-06-22
workflow-job,1.4,-,2015-07-27
workflow-job,1.8,-,2015-07-27
promoted-builds,2.10,+,2013-06-02
promoted-builds,2.10,+,2013-08-26
promoted-builds,2.10,-,2013-08-08
promoted-builds,2.10,+,2013-08-08
promoted-builds,2.10,-,2013-10-05
promoted-builds,2.10,-,2013-08-26
promoted-builds,2.10,-,2013-08-23
promoted-builds,2.10,+,2013-08-23
promoted-builds,2.10,-,2013-08-11
promoted-builds,2.10,+,2013-08-11
promoted-builds,2.10,-,2016-02-02
promoted-builds,2.10,+,2013-10-05
