library,version,sign,date
mockito-all,1.8.2,+,2013-12-08
mockito-all,1.8.2,-,2016-06-08
mockito-all,1.8.2,+,2013-09-02
mockito-all,1.10.8,+,2016-06-08
mockito-all,1.8.2,+,2010-01-31
mockito-all,1.7,-,2009-10-15
mockito-all,1.8.2,-,2013-12-08
mockito-all,1.7,-,2009-11-25
mockito-all,1.8.2,-,2013-09-01
mockito-all,1.8.2,-,2013-09-02
mockito-all,1.8.2,+,2013-09-01
asm-commons,3.3.1,+,2013-09-01
asm-commons,3.3.1,+,2013-09-02
asm-commons,3.3.1,+,2013-06-12
asm-commons,5.0.3,+,2013-12-08
asm-commons,3.3.1,-,2013-09-01
asm-commons,3.3.1,-,2013-09-02
asm-commons,3.3.1,-,2013-12-08
java2html,5.0,+,2013-09-01
java2html,5.0,+,2013-09-02
java2html,5.0,+,2009-11-18
java2html,5.0,-,2013-09-01
java2html,5.0,-,2013-09-02
java2html,5.0,+,2013-12-08
java2html,5.0,-,2013-12-08
neodatis-odb,1.9-beta-1,-,2013-12-08
neodatis-odb,1.9-beta-1,-,2009-11-18
neodatis-odb,1.9-beta-1,-,2013-09-02
neodatis-odb,1.9-beta-1,-,2013-09-01
neodatis-odb,1.9-beta-1,+,2009-11-18
neodatis-odb,1.9-beta-1,+,2009-10-29
neodatis-odb,1.9-beta-1,+,2013-12-08
neodatis-odb,1.9-beta-1,+,2013-09-01
neodatis-odb,1.9-beta-1,+,2013-09-02
asm,3.3.1,+,2013-09-01
asm,3.1,-,2009-10-15
asm,3.3.1,+,2013-09-02
asm,3.3.1,+,2013-06-12
asm,5.0.3,+,2013-12-08
asm,3.3.1,-,2013-09-01
asm,3.3.1,-,2013-09-02
asm,3.3.1,-,2013-12-08
asm,3.1,+,2009-10-16
asm,3.1,-,2009-11-18
