library,version,sign,date
junit,4.12,+,2018-05-30
junit,4.12,-,2018-07-12
junit,4.12,-,2019-04-10
junit,4.8.2,-,2018-05-30
junit,4.12,+,2019-01-24
junit,4.8.2,+,2018-07-12
junit,4.8.2,-,2019-01-24
junit,4.8.2,+,2011-07-16
junit,4.12,+,2019-04-10
commons-codec,1.9,+,2019-04-10
structs,1.5,+,2019-04-10
commons-httpclient,3.1-jenkins-1,+,2019-04-10
commons-net,3.2,+,2013-01-04
commons-net,3.2,-,2012-12-13
commons-net,3.2,+,2015-07-28
commons-net,3.2,-,2019-04-10
commons-net,3.2,-,2015-07-28
commons-net,3.2,+,2012-10-26
commons-net,3.6,+,2019-04-10
jersey-client,1.9-ea01,-,2011-07-16
jersey-client,1.8-ea03,-,2011-06-28
commons-lang,2.6,-,2019-04-10
commons-lang,2.6,+,2019-01-24
commons-lang,2.6,+,2019-04-10
commons-lang,2.6,+,2018-05-30
commons-lang,2.6,-,2018-07-12
json-path,0.5.5,-,2011-07-16
json-path,0.5.5,+,2011-07-10
workflow-job,2.15,+,2019-04-10
matrix-project,1.3,+,2019-04-10
matrix-project,1.3,+,2015-07-25
matrix-project,1.3,-,2019-04-10
