library,version,sign,date
dependency-check-utils,5.2.2,+,2019-10-14
maven-plugin-annotations,3.5.2,-,2018-11-20
maven-plugin-annotations,3.5.1,-,2018-05-24
maven-plugin-annotations,3.5.2,+,2018-05-24
maven-plugin-annotations,3.6.0,+,2018-11-20
maven-artifact-transfer,0.10.0,+,2018-06-22
maven-artifact-transfer,0.10.0,-,2019-02-17
maven-artifact-transfer,0.10.0,+,2019-01-01
maven-artifact-transfer,0.10.1,+,2018-12-18
maven-artifact-transfer,0.11.0,-,2019-11-12
maven-artifact-transfer,0.11.0,+,2019-02-17
maven-artifact-transfer,0.9.1,-,2018-06-22
maven-artifact-transfer,0.10.0,-,2018-12-18
maven-artifact-transfer,0.12.0,+,2019-11-12
maven-artifact-transfer,0.10.1,-,2019-01-01
maven-plugin-testing-harness,1.1,+,2018-07-22
plexus-utils,3.3.0,+,2019-11-12
plexus-utils,3.0.24,+,2018-07-22
maven-dependency-tree,3.0.1,-,2019-06-29
maven-dependency-tree,3.0.1,+,2018-04-25
maven-dependency-tree,2.2,-,2018-04-25
