library,version,sign,date
jboss-as-security,5.1.0.CR1,-,2011-10-27
jboss-as-security,5.1.0.CR1,+,2011-09-14
jboss-as-security,5.1.0.CR1,-,2011-09-14
jboss-as-security,5.1.0.CR1,-,2012-11-28
jboss-as-security,5.1.0.CR1,+,2011-08-11
jboss-as-aspects,5.1.0.CR1,-,2011-10-27
jboss-as-aspects,5.1.0.CR1,+,2011-09-14
jboss-as-aspects,5.1.0.CR1,-,2011-09-14
jboss-as-aspects,5.1.0.CR1,-,2012-11-28
jboss-as-aspects,5.1.0.CR1,+,2011-08-11
jnp-client,4.2.2.GA,+,2012-10-30
jnp-client,4.2.2.GA,-,2012-11-20
jnp-client,4.2.2.GA,+,2012-11-28
jboss-ejb3-ext-api,1.0.0,-,2011-09-14
jboss-ejb3-ext-api,1.0.0,+,2011-08-11
jboss-ejb3-ext-api,1.0.0,-,2012-11-28
jboss-ejb3-ext-api,1.0.0,-,2011-10-27
jboss-ejb3-ext-api,2.0.0,+,2012-10-30
jboss-ejb3-ext-api,1.0.0,+,2011-09-14
concurrent,1.3.4-jboss,-,2013-03-21
concurrent,1.3.4-jboss,-,2012-11-28
concurrent,1.3.4-jboss,+,2011-08-11
concurrent,1.3.4-jboss,+,2011-09-14
concurrent,1.3.4,-,2013-03-21
concurrent,1.3.4,+,2012-05-23
concurrent,1.3.4-jboss,-,2011-09-14
concurrent,1.3.4-jboss-update1,-,2013-03-21
concurrent,1.3.4,-,2012-05-23
concurrent,1.3.4-jboss,-,2011-10-27
concurrent,1.3.4-jboss,+,2011-10-27
trove,1.0.2,-,2012-11-20
trove,1.0.2,-,2012-10-30
trove,1.0.2,+,2011-09-28
trove,1.0.2,+,2012-05-23
trove,1.0.2,+,2012-11-20
trove,1.0.2,+,2011-10-27
trove,1.0.2,-,2012-11-28
trove,1.0.2,-,2013-03-21
trove,1.0.2,-,2012-05-23
jboss-serialization,1.0.3.GA,+,2012-08-02
jboss-serialization,1.0.3.GA,-,2012-09-06
jboss-common-core,2.2.17.GA,+,2012-08-02
jboss-common-core,2.2.17.GA,-,2012-09-06
jboss-common-core,2.2.17.GA,+,2012-10-30
javassist,3.12.1.GA,-,2012-10-30
javassist,3.16.1-GA,+,2012-09-06
javassist,3.15.0-GA,-,2012-09-06
javassist,3.16.1-GA,-,2012-11-20
javassist,3.12.1.GA,+,2012-09-06
javassist,3.12.1.GA,-,2012-08-02
javassist,3.15.0-GA,+,2012-08-02
javassist,3.15.0-GA,+,2012-10-30
log4j,1.2.14,+,2011-10-27
log4j,1.2.14,+,2012-11-28
log4j,1.2.16,+,2011-10-27
log4j,1.2.14,-,2011-10-27
log4j,1.2.14,-,2013-03-26
log4j,1.2.16,+,2013-03-26
log4j,1.2.14,-,2013-03-21
log4j,1.2.16,-,2012-11-28
log4j,1.2.14,-,2012-11-28
