library,version,sign,date
jboss-test,1.1.4.GA,-,2011-12-02
jboss-test,1.1.4.GA,-,2012-02-02
jboss-test,1.1.4.GA,-,2010-12-02
jboss-test,1.1.4.GA,+,2012-02-02
jboss-test,1.1.4.GA,+,2010-12-13
jboss-test,1.1.4.GA,+,2011-01-21
jboss-test,1.1.4.GA,+,2010-10-28
jboss-test,1.1.4.GA,+,2011-09-20
jboss-test,1.1.4.GA,+,2011-12-02
junit,4.4,+,2011-09-20
junit,4.4,+,2011-12-02
junit,4.8.2,-,2013-02-21
junit,4.4,+,2010-12-13
junit,4.4,-,2011-12-02
junit,4.8.2,+,2012-02-02
junit,4.4,+,2010-10-28
junit,4.4,+,2011-01-21
junit,4.4,-,2013-02-21
junit,4.4,-,2012-02-02
junit,4.4,-,2010-12-02
