library,version,sign,date
slf4j-api,1.7.18,-,2019-12-27
slf4j-api,1.7.18,-,2016-09-06
slf4j-api,1.7.18,+,2016-06-08
slf4j-api,1.7.18,-,2016-06-08
slf4j-api,1.7.18,+,2016-09-06
slf4j-api,1.7.18,+,2016-03-01
dnsjava,[2.1.6,),-,2016-06-08
dnsjava,2.1.6,+,2013-06-17
dnsjava,[2.1.6,),+,2016-09-06
dnsjava,3.0.0-next.1,-,2020-01-26
dnsjava,2.1.7,-,2019-05-19
dnsjava,[2.1.6,),+,2016-06-08
dnsjava,[2.1.6,),-,2016-11-22
dnsjava,2.1.9,-,2019-12-27
dnsjava,3.0.0-SNAPSHOT,-,2019-12-27
dnsjava,[2.1.6,),-,2016-09-06
dnsjava,2.1.6,-,2013-12-28
junit,[4.9,),-,2016-06-08
junit,[4,),-,2013-05-05
junit,[4.9,),+,2016-06-08
junit,[4.9,),-,2016-11-22
junit,[4,),-,2013-06-15
junit,[4,),+,2013-05-05
slf4j-log4j12,1.7.26,+,2016-11-23
slf4j-log4j12,1.7.26,-,2019-12-27
log4j,1.2.17,-,2016-03-01
log4j,1.2.17,+,2016-11-23
log4j,1.2.17,+,2013-05-05
bcprov-jdk15on,1.64,+,2020-01-19
