library,version,sign,date
antlr4-runtime,4.0,-,2013-05-15
antlr4-runtime,4.0,+,2013-03-02
easymock,3.1,-,2018-05-29
easymock,3.6,-,2020-04-28
easymock,3.1,+,2012-06-23
slf4j-api,1.6.4,-,2018-06-11
slf4j-api,1.7.25,-,2020-04-28
commons-text,1.6,-,2020-04-28
commons-text,1.3,-,2018-06-11
commons-text,1.3,+,2018-06-04
junit,4.12,-,2018-05-29
junit,4.12,+,2016-03-15
logback-classic,1.0.3,-,2018-06-11
powermock-module-junit4,1.4.12,-,2013-08-19
powermock-module-junit4,1.4.12,+,2012-07-03
powermock-module-junit4,1.7.4,-,2020-04-27
powermock-module-junit4,1.5.2,-,2018-05-29
powermock-api-easymock,1.4.12,-,2013-08-19
powermock-api-easymock,1.4.12,+,2012-07-03
powermock-api-easymock,1.7.4,-,2020-04-28
powermock-api-easymock,1.5.2,-,2018-05-29
commons-lang3,3.1,+,2012-07-03
commons-lang3,3.1,-,2018-05-31
commons-lang3,3.7,-,2018-06-11
commons-io,1.3.2,+,2012-10-09
commons-io,1.3.2,-,2018-05-31
commons-io,2.4,+,2012-09-14
