library,version,sign,date
junit,4.8.2,-,2012-05-22
junit,4.8.2,+,2012-05-22
junit,4.11,+,2012-11-16
junit,4.8.2,+,2012-04-11
maven-plugin-api,3.0.2,-,2014-03-27
maven-plugin-api,3.2.3,+,2014-03-27
maven-plugin-api,2.0,+,2012-05-22
maven-plugin-api,2.0,+,2012-04-11
maven-plugin-api,3.0.2,-,2012-05-22
maven-plugin-api,2.0,-,2014-03-27
maven-plugin-api,3.0.2,+,2012-05-22
maven-plugin-api,2.0,-,2012-05-22
maven-jar-plugin,2.3.1,-,2012-05-22
maven-jar-plugin,2.3.1,-,2014-03-27
maven-jar-plugin,2.3.1,+,2012-05-22
plexus-utils,1.5.9,-,2012-08-19
plexus-utils,1.5.9,+,2012-04-22
plexus-utils,1.5.9,+,2012-08-19
plexus-utils,1.5.9,+,2012-05-22
plexus-utils,1.5.9,-,2014-03-27
plexus-utils,1.5.9,-,2012-05-22
maven-artifact,2.2.1,+,2014-03-27
maven-artifact,2.2.1,-,2012-05-22
maven-artifact,2.2.1,+,2012-03-29
maven-artifact,3.0.2,+,2014-03-27
maven-artifact,2.2.1,+,2012-05-22
log4j,1.2.16,-,2012-05-22
log4j,1.2.16,+,2012-05-22
