library,version,sign,date
maven-plugin-api,2.0,+,2013-03-27
maven-plugin-api,2.0,-,2015-03-18
maven-plugin-api,2.0,-,2011-01-17
maven-plugin-api,2.0,+,2013-07-06
maven-plugin-api,2.0,-,2010-12-12
maven-plugin-api,2.0,-,2013-03-27
maven-plugin-api,2.0,-,2013-07-06
maven-plugin-api,2.0,+,2011-01-17
maven-plugin-api,2.0,+,2010-12-12
jsonschema2pojo-core,0.1.7-SNAPSHOT,-,2011-02-22
jsonschema2pojo-core,0.1.9,-,2011-06-10
jsonschema2pojo-core,0.1.2,-,2010-12-20
jsonschema2pojo-core,0.0.1-SNAPSHOT,-,2010-12-13
jsonschema2pojo-core,0.1.5,-,2011-01-17
jsonschema2pojo-core,0.1.1,-,2010-12-15
jsonschema2pojo-core,0.1.9-SNAPSHOT,-,2011-06-06
jsonschema2pojo-core,0.1.3-SNAPSHOT,-,2010-12-20
jsonschema2pojo-core,0.1.5-SNAPSHOT,-,2011-01-08
jsonschema2pojo-core,0.2.1-SNAPSHOT,-,2011-11-18
jsonschema2pojo-core,0.2.0,-,2011-11-18
jsonschema2pojo-core,0.1.1-SNAPSHOT,-,2010-12-13
jsonschema2pojo-core,0.1.8,-,2011-04-28
jsonschema2pojo-core,0.1.0,-,2010-12-13
jsonschema2pojo-core,0.1.4-SNAPSHOT,-,2010-12-23
jsonschema2pojo-core,0.1.6,-,2011-02-22
jsonschema2pojo-core,0.1.11-SNAPSHOT,-,2011-07-11
jsonschema2pojo-core,0.1.6-SNAPSHOT,-,2011-01-17
jsonschema2pojo-core,0.1.8-SNAPSHOT,-,2011-03-16
jsonschema2pojo-core,0.1.10,-,2011-07-11
jsonschema2pojo-core,0.1.3,-,2010-12-23
jsonschema2pojo-core,0.1.7,-,2011-02-28
jsonschema2pojo-core,0.1.8-SNAPSHOT,-,2011-02-28
jsonschema2pojo-core,0.1.2-SNAPSHOT,-,2010-12-15
jsonschema2pojo-core,0.1.4,-,2011-01-08
jsonschema2pojo-core,0.1.10-SNAPSHOT,-,2011-06-10
maven-shared-utils,0.6,+,2014-05-08
maven-project,2.0,+,2013-03-27
maven-project,2.0,-,2015-03-18
maven-project,2.0,-,2011-01-17
maven-project,2.0,+,2013-07-06
maven-project,2.0,-,2010-12-12
maven-project,2.0,-,2013-03-27
maven-project,2.0,-,2013-07-06
maven-project,2.0,+,2011-01-17
maven-project,2.0,+,2010-12-12
