library,version,sign,date
slf4j-simple,1.6.1,+,2011-07-13
jsp-api,2.0,+,2011-07-13
commons-dbcp,1.4,+,2011-07-13
spring-web,3.0.5.RELEASE,+,2011-07-13
spring-web,3.0.5.RELEASE,-,2011-08-19
commons-lang,2.6,+,2011-07-13
commons-lang,2.6,+,2011-09-11
commons-lang,2.6,+,2011-10-31
commons-lang,2.6,-,2011-07-13
commons-lang,2.6,-,2011-10-31
tiles-api,2.2.2,+,2011-07-13
spring-core,3.0.5.RELEASE,+,2011-07-13
spring-core,3.0.5.RELEASE,-,2011-08-19
spring-webmvc,3.0.5.RELEASE,+,2011-07-13
spring-webmvc,3.0.5.RELEASE,-,2011-08-19
postgresql,9.0-801.jdbc4,+,2011-10-31
postgresql,9.0-801.jdbc4,-,2011-10-31
postgresql,9.0-801.jdbc4,+,2011-07-19
json,20090211,+,2011-07-24
spring-aop,3.0.5.RELEASE,+,2011-07-13
spring-aop,3.0.5.RELEASE,-,2011-08-19
aspectjweaver,1.6.11,+,2011-07-13
log4j,1.2.16,+,2011-10-31
log4j,1.2.16,+,2011-07-13
log4j,1.2.16,-,2011-07-13
log4j,1.2.16,-,2011-10-31
junit,4.8.1,+,2011-10-31
junit,3.8.1,+,2011-07-13
junit,3.8.1,-,2011-07-19
junit,3.8.1,-,2011-07-13
junit,4.8.1,-,2011-10-31
hsqldb,1.8.0.10,-,2011-07-13
hsqldb,1.8.0.10,-,2012-01-29
hsqldb,1.8.0.10,-,2011-10-31
hsqldb,1.8.0.10,+,2011-07-13
hsqldb,1.8.0.10,+,2011-10-31
joda-time,1.6.2,+,2011-10-31
joda-time,1.6.2,-,2011-12-23
joda-time,1.6.2,-,2011-10-31
joda-time,1.6.2,+,2011-07-24
joda-time,1.6.2,+,2011-07-13
tiles-compat,2.2.2,+,2011-07-13
spring-context,3.0.5.RELEASE,+,2011-07-13
spring-context,3.0.5.RELEASE,-,2011-08-19
jstl,1.2,+,2011-07-16
spring-orm,3.0.5.RELEASE,+,2011-07-13
spring-orm,3.0.5.RELEASE,-,2011-08-19
tiles-core,2.2.2,+,2011-07-13
spring-tx,3.0.5.RELEASE,+,2011-07-13
spring-tx,3.0.5.RELEASE,-,2011-08-19
tiles-servlet,2.2.2,+,2011-07-13
pepco-model,1.0-SNAPSHOT,+,2011-10-31
pepco-model,1.0-SNAPSHOT,-,2011-07-31
pepco-model,1.0-SNAPSHOT,+,2011-07-13
pepco-model,1.0-SNAPSHOT,-,2011-10-31
pepco-model,1.0-SNAPSHOT,-,2011-07-13
servlet-api,2.5,+,2011-07-13
