library,version,sign,date
analytics,1.3.1,+,2011-12-11
analytics,1.3.1,-,2012-01-27
library,1.2.1,-,2011-11-10
library,1.2.1,+,2011-10-26
android,4.0.1.2,-,2012-03-23
android,3.2_r1,-,2012-03-17
android,3.2_r1,+,2012-01-27
android,4.0_r1,-,2011-11-10
android,3.2_r1,-,2012-01-27
android,4.0_r1,+,2011-10-26
android,4.0,-,2011-10-26
android,4.0.1.2,+,2012-03-23
android,4.0.3_r2,-,2012-01-27
android,3.2_r1,+,2011-11-10
android,4.0.3_r2,+,2012-01-27
android,4.0.1.2,+,2012-03-17
achartengine,0.7.0-electricsleep,-,2012-03-09
achartengine,0.8.0-electricsleep,-,2012-03-23
achartengine,0.7.0-electricsleep,+,2012-01-27
achartengine,0.8.0-electricsleep,+,2012-03-09
achartengine,0.7.0-electricsleep,-,2012-01-27
achartengine,0.7.0-electricsleep,+,2011-12-11
achartengine,0.8.0-electricsleep,+,2012-03-23
