library,version,sign,date
slf4j-api,1.7.12,-,2018-11-12
slf4j-api,1.7.12,-,2015-12-15
slf4j-api,1.7.12,+,2016-05-01
slf4j-api,1.7.12,+,2015-12-15
slf4j-api,1.6.4,-,2015-08-02
slf4j-api,1.7.12,-,2016-05-01
slf4j-api,1.7.25,-,2019-04-28
junit,4.10,-,2016-05-01
junit,4.10,+,2016-05-01
junit,4.10,+,2015-12-15
junit,4.10,-,2015-12-15
logback-classic,1.0.0,+,2016-05-01
logback-classic,1.0.0,-,2015-12-15
logback-classic,1.0.0,-,2016-05-01
logback-classic,1.0.0,+,2015-12-15
logback-core,1.0.0,+,2016-05-01
logback-core,1.0.0,-,2015-12-15
logback-core,1.0.0,-,2016-05-01
logback-core,1.0.0,+,2015-12-15
jna,4.2.1,-,2018-11-12
jna,4.2.1,-,2015-12-15
jna,4.1.0,-,2015-12-05
jna,4.2.1,-,2016-05-01
jna,5.1.0,-,2019-04-28
jna,3.5.2,-,2014-03-07
jna,4.2.1,+,2016-05-01
jna,4.2.1,+,2015-12-15
