library,version,sign,date
jsi,1.0.0,+,2013-07-15
junit,4.10,-,2013-01-10
junit,4.10,+,2013-01-09
junit,4.10,+,2012-11-08
junit,4.10,+,2013-01-10
junit,4.10,-,2013-01-09
javacsv,2.0,+,2013-02-25
postgis-jdbc,1.3.3,+,2013-07-12
ant,1.8.4,+,2013-01-16
jts,1.11,+,2012-11-05
jts,1.11,+,2013-01-09
jts,1.11,-,2013-01-09
jts,1.11,+,2013-01-10
jts,1.11,-,2013-01-10
gt-shapefile,8.3,-,2013-01-09
gt-shapefile,8.3,+,2012-11-08
gt-shapefile,8.3,+,2013-01-10
gt-shapefile,8.3,-,2013-01-10
gt-shapefile,8.3,-,2013-01-16
gt-shapefile,8.3,+,2013-01-09
jsoup,1.6.1,+,2012-11-03
jsoup,1.6.1,+,2012-11-05
jsoup,1.6.1,-,2013-01-09
jsoup,1.6.1,+,2013-01-09
jsoup,1.6.1,+,2013-01-10
jsoup,1.6.1,-,2013-01-10
jsoup,1.6.1,-,2012-11-05
h2,1.3.172,+,2013-02-27
stax,1.2.0,-,2013-01-10
stax,1.2.0,+,2013-01-10
stax,1.2.0,+,2012-12-13
slf4j-api,1.6.4,+,2013-07-15
postgresql,9.1-901.jdbc4,+,2013-07-14
slf4j-jdk14,1.6.4,+,2013-07-15
commons-compress,1.2,-,2013-01-10
commons-compress,1.2,+,2013-01-10
commons-compress,1.2,+,2012-11-15
gt-swing,8.3,-,2013-01-09
gt-swing,8.3,+,2012-11-08
gt-swing,8.3,+,2013-01-10
gt-swing,8.3,-,2013-01-10
gt-swing,8.3,-,2013-01-16
gt-swing,8.3,+,2013-01-09
httpclient,4.2.2,+,2012-11-05
httpclient,4.2.2,-,2013-01-09
httpclient,4.2.2,+,2013-01-09
httpclient,4.2.2,+,2012-10-09
httpclient,4.2.2,+,2013-01-10
httpclient,4.2.2,-,2013-01-10
httpclient,4.2.2,-,2012-11-05
selenium-java,2.37.1,+,2013-07-18
selenium-java,2.37.1,-,2013-11-11
log4j,1.2.16,-,2013-01-10
log4j,1.2.16,+,2013-01-09
log4j,1.2.16,-,2013-01-09
log4j,1.2.16,+,2012-10-09
log4j,1.2.16,+,2013-01-10
zip4j,1.2.3,+,2013-11-07
