library,version,sign,date
org.eclipse.emf.ecore,2.9.1-v20130827-0309,-,2014-03-12
org.eclipse.emf.ecore,2.9.1-v20130827-0309,+,2014-03-12
jms-api,1.1-rev-1,+,2014-03-13
mail,1.4.1,+,2014-03-05
mail,1.4.1,+,2014-03-12
mail,1.0,-,2014-03-05
mail,1.4.1,-,2014-03-12
ojdbc5,11.2.0.1.0,+,2014-03-05
jtds,1.2.4,+,2014-03-13
quartz,2.1.7,+,2014-03-12
quartz,2.1.7,-,2014-03-12
org.eclipse.emf.common,2.9.1-v20130827-0309,-,2014-03-12
org.eclipse.emf.common,2.9.1-v20130827-0309,+,2014-03-12
org.eclipse.emf.ecore.xmi,2.9.1-v20130827-0309,-,2014-03-12
org.eclipse.emf.ecore.xmi,2.9.1-v20130827-0309,+,2014-03-12
dom4j,1.6.1,+,2014-03-13
dom4j,1.6.1,-,2014-04-02
dom4j,1.6.1,+,2014-03-06
dom4j,1.7-20060614,-,2014-03-05
dom4j,1.6.1,-,2014-03-06
jakarta-regexp,1.4,+,2014-03-05
jakarta-regexp,1.4,+,2014-03-12
jakarta-regexp,1.4,-,2014-03-12
mysql-connector-java,5.0.5,+,2014-03-06
groovy-all,2.1.9,+,2014-03-12
groovy-all,2.1.9,-,2014-03-12
activemq-all,5.9.0,+,2014-03-12
activemq-all,5.9.0,-,2014-03-12
bsh,2.0b5,+,2014-03-12
bsh,2.0b5,-,2014-03-12
org.eclipse.xsd,2.7.0-v20110606-0949,-,2014-03-12
org.eclipse.xsd,2.7.0-v20110606-0949,+,2014-03-12
com.founder.fix.fixflow.bpmn2.extensions,5.2.0,-,2014-03-12
com.founder.fix.fixflow.bpmn2.extensions,5.2.0,+,2014-03-12
com.founder.fix.fixflow.bpmn2.extensions,1.0,-,2014-03-05
