library,version,sign,date
myfaces-impl,2.0.7,+,2011-06-17
myfaces-impl,2.0.7,+,2011-06-07
myfaces-impl,2.0.7,-,2011-06-17
myfaces-api,2.0.7,+,2011-06-17
myfaces-api,2.0.7,+,2011-06-07
myfaces-api,2.0.7,-,2011-06-17
sapm,0.5-SNAPSHOT,-,2012-07-13
sapm,0.4,-,2011-11-20
sapm,0.4,+,2011-06-17
sapm,0.4,-,2011-06-17
sapm,0.4,+,2011-01-01
tomahawk,1.1.6,+,2011-01-01
tomahawk,1.1.6,-,2011-01-01
tomahawk,1.1.6,+,2011-06-17
tomahawk,1.1.6,-,2011-06-17
servlet-api,2.5,-,2011-06-17
servlet-api,2.5,+,2011-06-17
servlet-api,2.5,-,2011-01-01
servlet-api,2.5,+,2011-01-01
