library,version,sign,date
kiji-checkin,1.0.2,-,2013-11-06
kiji-checkin,1.0.4,-,2014-01-09
kiji-checkin,1.0.3,-,2014-03-08
kiji-checkin,1.0.1,+,2013-07-16
kiji-checkin,1.0.1-SNAPSHOT,+,2013-07-09
kiji-checkin,1.0.6,+,2014-03-08
kiji-checkin,1.0.0-SNAPSHOT,+,2013-05-15
kiji-checkin,1.0.0,-,2013-07-09
kiji-checkin,1.0.4,+,2013-11-06
kiji-checkin,1.0.0-SNAPSHOT,-,2013-05-21
kiji-checkin,1.0.1,-,2013-07-23
kiji-checkin,1.0.2,+,2013-07-23
kiji-checkin,1.0.3,+,2014-01-09
kiji-checkin,1.0.1-SNAPSHOT,-,2013-07-16
kiji-common-flags,1.1.0,+,2014-07-17
httpclient,4.2.3,-,2013-03-14
httpclient,4.2.3,+,2013-03-14
httpcore,4.2.2,+,2013-03-14
