library,version,sign,date
maven-core,3.0,-,2016-12-16
maven-core,3.0,-,2018-02-06
maven-core,3.0,+,2016-08-27
maven-core,3.0,+,2016-12-16
junit,3.8.1,+,2018-11-07
junit,3.8.1,+,2019-03-28
junit,3.8.1,+,2018-09-30
junit,3.8.1,-,2016-08-26
junit,3.8.1,+,2016-08-26
maven-plugin-annotations,3.2,+,2016-08-20
maven-plugin-annotations,3.5,-,2018-02-06
maven-plugin-annotations,3.2,-,2016-12-16
maven-plugin-annotations,3.5,+,2016-12-16
jetty-server,9.3.0.v20150612,-,2018-01-26
jetty-server,9.3.0.v20150612,+,2016-08-27
jetty-server,9.3.0.v20150612,+,2017-02-01
asm-tree,6.2.1,-,2018-09-17
asm-tree,6.2,-,2018-08-31
asm-tree,7.0-beta,-,2018-10-03
asm-tree,6.0,-,2018-02-06
asm-tree,6.0,+,2018-02-01
asm-tree,7.0,-,2019-03-28
