library,version,sign,date
junit,4.4,+,2012-02-29
junit,4.4,-,2012-03-14
junit,4.4,+,2013-03-08
junit,4.4,-,2012-02-29
junit,4.4,+,2012-05-09
metamorphosis-client,1.4.4,+,2013-03-08
metamorphosis-client,1.4.5-SNAPSHOT,-,2013-06-15
metamorphosis-client,1.4.4-SNAPSHOT,-,2013-03-08
metamorphosis-client,1.4.3-SNAPSHOT,+,2012-05-09
metamorphosis-client,1.4.0.taocode-SNAPSHOT,-,2012-02-29
metamorphosis-client,1.4.6-SNAPSHOT,-,2013-07-14
metamorphosis-client,1.4.3-SNAPSHOT,-,2012-06-03
metamorphosis-client,1.4.4,-,2013-06-03
metamorphosis-client,1.4.0.taocode-SNAPSHOT,-,2012-03-14
metamorphosis-client,1.4.5,-,2013-06-15
log4j,1.2.14,-,2012-02-29
log4j,1.2.14,+,2012-02-29
log4j,1.2.14,-,2013-03-08
