library,version,sign,date
slf4j-api,1.5.8,-,2013-03-17
junit,4.11,-,2013-07-09
junit,4.7,-,2013-06-30
junit,4.11,+,2013-07-09
javaee-api,6.0,-,2013-07-09
javaee-api,6.0,-,2010-08-11
javaee-api,6.0,+,2013-07-09
javaee-api,6.0,-,2012-09-09
javaee-api,6.0,+,2010-08-11
commons-codec,1.8,+,2013-07-29
hibernate-validator,5.0.1.Final,-,2013-08-25
hibernate-validator,5.0.1.Final,+,2013-07-09
postgresql,9.1-901.jdbc4,-,2013-07-10
postgresql,9.1-901.jdbc4,+,2013-07-10
postgresql,9.1-901.jdbc4,+,2013-07-09
validation-api,1.0.0.GA,-,2013-07-21
validation-api,1.0.0.GA,+,2013-07-10
validation-api,1.1.0.Final,-,2013-08-25
opencsv,2.3,+,2013-12-29
commons-lang3,3.1,+,2013-06-30
hibernate-core,3.5.0-Final,+,2010-08-07
hibernate-core,3.5.0-Final,-,2010-08-11
mockito-core,1.9.5,+,2013-10-23
