library,version,sign,date
privilege-xacml,2.2.5,+,2012-12-17
privilege-xacml,2.2.5,-,2015-11-04
privilege-xacml,2.2.5,-,2012-12-17
canl,2.5.0,-,2019-09-30
canl,1.3.3,+,2015-08-14
canl,2.1.2,-,2018-07-02
canl,1.3.3,-,2016-05-25
voms-api-java,3.1.0,-,2018-07-02
voms-api-java,3.0.5,-,2016-05-25
voms-api-java,2.0.10.1,+,2015-02-25
voms-api-java,2.0.10.1,-,2015-06-03
guava,18.0,-,2015-11-04
guava,10.0.1,-,2012-06-18
guava,16.0,-,2014-02-14
guava,16.0.1,-,2014-04-17
guava,14.0.1,-,2013-09-02
guava,19.0,-,2016-11-12
guava,14.0.1,+,2012-12-17
guava,17.0,-,2014-10-29
guava,12.0,-,2012-12-17
guava,20.0,-,2018-03-06
guava,15.0,-,2014-01-31
gplazma2,5.1.0-SNAPSHOT,-,2018-12-19
gplazma2,4.3.0-SNAPSHOT,-,2018-06-01
gplazma2,5.0.0-SNAPSHOT,-,2018-07-02
gplazma2,6.0.0-SNAPSHOT,-,2019-06-17
gplazma2,4.3.0-SNAPSHOT,+,2018-03-06
gplazma2,6.1.0-SNAPSHOT,-,2019-09-30
gplazma2,5.2.0-SNAPSHOT,-,2019-04-09
opensaml,2.6.0,-,2014-01-31
opensaml,2.2.0,+,2012-12-17
opensaml,2.2.0,-,2013-11-05
opensaml,2.2.0,-,2012-12-17
