library,version,sign,date
hamcrest-library,1.3,+,2017-10-24
hamcrest-library,1.3,-,2018-04-24
hamcrest-library,1.3,-,2017-11-06
hamcrest-library,1.3,+,2018-01-31
maven-plugin-annotations,3.3,-,2015-02-08
maven-plugin-annotations,3.3,+,2015-02-10
maven-plugin-annotations,3.3,+,2015-01-21
maven-plugin-annotations,3.3,+,2015-03-23
maven-plugin-annotations,3.3,-,2015-01-21
maven-plugin-annotations,3.3,-,2015-03-23
maven-plugin-annotations,3.3,+,2015-03-31
maven-plugin-annotations,3.3,+,2015-03-30
maven-plugin-annotations,3.3,+,2014-05-27
maven-plugin-annotations,3.3,-,2015-03-30
maven-plugin-annotations,3.3,-,2014-12-14
maven-plugin-annotations,3.3,-,2015-03-31
maven-plugin-annotations,3.3,+,2015-02-08
maven-plugin-annotations,3.3,-,2015-02-10
maven-plugin-annotations,3.3,-,2018-04-24
maven-plugin-annotations,3.3,+,2014-12-14
reflections,0.9.9,+,2017-05-25
reflections,0.9.9-RC2,+,2015-03-23
reflections,0.9.9-RC1,-,2014-08-16
reflections,0.9.9,+,2018-04-24
reflections,0.9.9-RC2,-,2016-02-17
reflections,0.9.9,+,2015-02-10
reflections,0.9.9,-,2015-03-23
reflections,0.9.9,-,2015-01-21
reflections,0.9.9-RC2,+,2015-01-21
reflections,0.9.9-RC2,-,2015-02-08
reflections,0.9.9-RC2,-,2015-03-30
reflections,0.9.9-RC2,-,2016-03-18
reflections,0.9.9,-,2015-03-31
reflections,0.9.9,-,2018-04-24
reflections,0.9.10,-,2017-05-25
reflections,0.9.9,+,2015-02-08
reflections,0.9.9,+,2014-12-14
reflections,0.9.9-RC1,+,2013-05-23
reflections,0.9.9,-,2015-02-08
reflections,0.9.9,+,2015-03-30
reflections,0.9.9,+,2015-03-31
reflections,0.9.9-RC2,+,2015-02-08
reflections,0.9.9-RC2,-,2014-11-25
reflections,0.9.9-RC2,-,2015-02-10
reflections,0.9.9,-,2014-12-14
reflections,0.9.10,+,2016-03-18
reflections,0.9.9-RC2,+,2016-02-17
swagger-jaxrs,1.5.0-M1,+,2015-01-21
swagger-jaxrs,1.5.0-M1,-,2015-02-08
swagger-jaxrs,1.5.0-SNAPSHOT,-,2014-11-25
swagger-jaxrs,1.5.1-SNAPSHOT,-,2015-02-10
swagger-jaxrs,1.5.0,-,2015-06-13
swagger-jaxrs,1.5.1-M2,+,2015-03-31
swagger-jaxrs,1.5.1-M2,-,2015-05-15
swagger-jaxrs,1.5.0-SNAPSHOT,+,2014-10-13
swagger-jaxrs,1.5.3,-,2015-10-02
swagger-jaxrs,1.5.3-M1,+,2015-03-23
swagger-jaxrs,1.5.3-M1,-,2015-03-30
swagger-jaxrs,1.5.1-SNAPSHOT,+,2015-02-08
swagger-jersey-jaxrs,1.5.1-M2,+,2015-03-31
swagger-jersey-jaxrs,1.5.0,-,2015-10-02
swagger-jersey-jaxrs,1.5.0-M1,+,2015-01-21
swagger-jersey-jaxrs,1.5.1-M2,-,2015-05-15
swagger-jersey-jaxrs,1.5.0-M1,-,2015-02-08
swagger-jersey-jaxrs,1.5.0-SNAPSHOT,-,2014-11-25
swagger-jersey-jaxrs,1.5.0-SNAPSHOT,+,2014-10-13
swagger-jersey-jaxrs,1.5.3-M1,+,2015-03-23
swagger-jersey-jaxrs,1.5.1-SNAPSHOT,-,2015-02-10
swagger-jersey-jaxrs,1.5.3-M1,-,2015-03-30
swagger-jersey-jaxrs,1.5.1-SNAPSHOT,+,2015-02-08
commons-io,2.0.1,+,2018-04-24
commons-io,2.0.1,-,2016-02-17
commons-io,2.0.1,-,2015-01-21
commons-io,2.0.1,-,2015-02-10
commons-io,2.0.1,-,2015-03-23
commons-io,2.0.1,-,2015-02-08
commons-io,2.0.1,+,2015-03-30
commons-io,2.0.1,+,2015-03-31
commons-io,2.0.1,+,2015-02-10
commons-io,2.0.1,+,2015-03-23
commons-io,2.0.1,-,2014-12-14
commons-io,2.0.1,+,2016-02-17
commons-io,2.0.1,+,2015-01-21
commons-io,2.0.1,-,2018-04-24
commons-io,2.0.1,+,2015-02-08
commons-io,2.0.1,-,2015-03-30
commons-io,2.0.1,-,2015-03-31
commons-io,2.0.1,+,2014-12-14
spring-web,4.0.5.RELEASE,-,2016-02-17
spring-web,4.0.5.RELEASE,-,2015-01-21
spring-web,4.0.5.RELEASE,-,2015-03-23
spring-web,4.0.5.RELEASE,-,2015-02-08
spring-web,4.0.5.RELEASE,+,2014-12-14
spring-web,4.0.5.RELEASE,-,2015-03-31
spring-web,4.0.5.RELEASE,+,2015-02-08
spring-web,4.0.5.RELEASE,+,2015-02-10
spring-web,4.0.5.RELEASE,+,2015-03-31
spring-web,4.0.5.RELEASE,+,2015-03-30
javax.ws.rs-api,2.0,+,2015-03-23
javax.ws.rs-api,2.0.1,-,2015-01-21
javax.ws.rs-api,2.0,+,2015-01-21
javax.ws.rs-api,2.0.1,-,2015-03-23
javax.ws.rs-api,2.0,+,2015-02-08
javax.ws.rs-api,2.0,-,2014-11-25
javax.ws.rs-api,2.0.1,-,2015-02-08
javax.ws.rs-api,2.0.1,+,2015-03-30
javax.ws.rs-api,2.0.1,+,2015-03-31
javax.ws.rs-api,2.0.1,+,2015-02-10
javax.ws.rs-api,2.0.1,-,2014-12-14
javax.ws.rs-api,2.0.1,-,2018-04-24
javax.ws.rs-api,2.0,+,2014-01-17
javax.ws.rs-api,2.0,-,2015-02-08
javax.ws.rs-api,2.0.1,+,2015-02-08
javax.ws.rs-api,2.0,-,2015-03-30
javax.ws.rs-api,2.0.1,-,2015-03-31
javax.ws.rs-api,2.0,-,2015-02-10
javax.ws.rs-api,2.0.1,+,2014-12-14
spring-context,4.0.5.RELEASE,-,2016-02-17
spring-context,4.0.5.RELEASE,-,2015-01-21
spring-context,4.0.5.RELEASE,-,2015-03-23
spring-context,4.0.5.RELEASE,-,2015-02-08
spring-context,4.0.5.RELEASE,+,2014-12-14
spring-context,4.0.5.RELEASE,-,2015-03-31
spring-context,4.0.5.RELEASE,+,2015-02-08
spring-context,4.0.5.RELEASE,+,2015-02-10
spring-context,4.0.5.RELEASE,+,2015-03-31
spring-context,4.0.5.RELEASE,+,2015-03-30
maven-core,2.0.9,+,2015-02-08
maven-core,2.0.9,-,2015-03-30
maven-core,2.0.9,-,2014-12-14
maven-core,2.0.9,-,2015-03-31
maven-core,2.0.9,-,2015-03-23
maven-core,2.0.9,+,2015-03-31
maven-core,2.0.9,-,2015-02-10
maven-core,2.0.9,-,2015-01-21
maven-core,2.0.9,+,2015-03-23
maven-core,2.0.9,+,2015-02-10
maven-core,2.0.9,+,2015-01-21
maven-core,2.0.9,+,2015-03-30
maven-core,2.0.9,-,2015-02-08
maven-core,2.0.9,-,2018-04-24
maven-core,2.0.9,+,2014-12-14
json-unit-core,1.6.1,+,2015-10-12
json-unit-core,1.6.1,-,2016-02-17
jersey-server,1.13,+,2016-11-10
jersey-server,1.13,-,2018-04-24
handlebars,1.3.2,+,2015-03-31
handlebars,1.3.2,-,2015-02-10
handlebars,1.3.2,+,2015-01-21
handlebars,1.3.2,+,2015-03-23
handlebars,1.3.2,-,2016-02-17
handlebars,1.3.2,-,2014-11-25
handlebars,1.3.2,-,2015-03-30
handlebars,1.3.2,-,2015-02-08
handlebars,1.3.2,+,2016-02-17
handlebars,1.3.2,+,2015-02-08
handlebars,1.3.2,+,2014-11-11
jaxb-impl,2.2.11,+,2018-09-23
jaxb-impl,2.2.11,-,2018-12-28
jaxb-api,2.2.11,+,2018-09-23
jaxb-api,2.2.11,-,2018-12-28
maven-plugin-testing-harness,1.1,-,2015-02-08
maven-plugin-testing-harness,1.1,+,2015-03-30
maven-plugin-testing-harness,1.1,-,2015-01-21
maven-plugin-testing-harness,1.1,+,2015-03-31
maven-plugin-testing-harness,1.1,-,2015-03-23
maven-plugin-testing-harness,1.1,-,2015-03-31
maven-plugin-testing-harness,1.1,-,2015-03-30
maven-plugin-testing-harness,1.1,-,2015-02-10
maven-plugin-testing-harness,1.1,+,2014-05-27
maven-plugin-testing-harness,1.1,-,2014-12-14
maven-plugin-testing-harness,1.1,+,2015-03-23
maven-plugin-testing-harness,1.1,+,2015-02-10
maven-plugin-testing-harness,1.1,+,2015-01-21
maven-plugin-testing-harness,1.1,-,2016-02-17
maven-plugin-testing-harness,1.1,+,2014-12-14
maven-plugin-testing-harness,1.1,+,2015-02-08
commons-lang3,3.5,+,2017-04-09
commons-lang3,3.9,+,2019-01-08
commons-lang3,3.5,-,2018-04-24
commons-lang3,3.5,+,2018-04-24
commons-lang3,3.5,-,2019-01-08
commons-lang3,[3.4,4.0),+,2016-04-29
commons-lang3,[3.4,4.0),-,2017-04-09
jettison,1.3.3,-,2016-02-17
jettison,1.3.3,+,2016-02-17
jettison,1.3.3,+,2015-10-16
testng,6.4,-,2014-12-14
testng,6.4,+,2015-01-21
testng,6.4,+,2015-02-10
testng,6.8.8,+,2016-04-26
testng,6.4,+,2013-05-29
testng,6.4,-,2015-01-21
testng,6.4,-,2015-03-23
testng,6.4,-,2015-02-10
testng,6.4,-,2015-03-31
testng,6.5.1,+,2016-02-17
testng,6.4,-,2015-03-30
testng,6.4,-,2015-02-08
testng,6.4,+,2015-03-30
testng,6.4,+,2015-03-31
testng,6.4,+,2015-03-23
testng,6.4,+,2014-12-14
testng,6.5.1,-,2016-04-26
testng,6.4,+,2015-02-08
testng,6.4,-,2016-02-17
mockito-core,2.18.3,-,2018-04-24
mockito-core,2.18.3,+,2018-04-24
