library,version,sign,date
xercesImpl,2.8.1,-,2013-08-08
xercesImpl,2.8.1,-,2013-11-08
xercesImpl,2.8.1,+,2013-08-08
xercesImpl,2.8.1,+,2013-05-20
xercesImpl,2.11.0,+,2013-11-08
standard,1.1.2,-,2013-11-18
standard,1.1.2,+,2013-08-08
jackson-annotations,2.4.0,-,2014-07-15
cglib,2.2.2,-,2013-08-01
cglib,3.0,-,2014-01-13
cglib,2.2.2,+,2013-04-23
cglib,3.1,+,2014-01-13
validation-api,1.1.0.Final,-,2013-11-18
validation-api,1.1.0.Final,+,2013-08-01
jsp-api,2.1,-,2013-11-08
jsp-api,2.1,-,2013-05-29
jsp-api,2.1,+,2013-05-29
jsp-api,2.2,+,2013-11-08
javax.el-api,3.0.0,+,2014-01-25
xml-apis,1.4.01,+,2013-12-26
jackson-datatype-guava,1.9.2,-,2014-09-07
jackson-datatype-guava,1.9.2,+,2014-07-16
tomcat-servlet-api,7.0.21,-,2013-10-11
tomcat-servlet-api,7.0.21,+,2013-08-08
tomcat-servlet-api,7.0.21,+,2013-04-17
tomcat-servlet-api,7.0.21,-,2013-08-08
spring-binding,2.4.0.RC1,+,2014-08-25
spring-binding,2.4.1.RELEASE,+,2014-11-30
spring-binding,2.4.0.RC1,-,2014-11-30
json,20090211,+,2013-08-01
json,20131018,-,2013-11-18
json,20090211,-,2013-11-12
joor,0.9.3,+,2013-08-08
joor,0.9.3,+,2013-05-29
joor,0.9.4,+,2014-07-15
joor,0.9.3,-,2014-07-15
joor,0.9.3,-,2013-08-08
commons-logging,1.1.3,-,2014-07-15
commons-logging,1.1.3,+,2013-08-01
commons-logging,1.2,+,2014-07-15
spring-data-rest-webmvc,2.0.0.BUILD-SNAPSHOT,-,2014-02-19
spring-data-rest-webmvc,2.1.4.RELEASE,-,2014-11-30
spring-data-rest-webmvc,2.2.1.RELEASE,+,2014-11-30
spring-data-rest-webmvc,2.0.0.BUILD-SNAPSHOT,+,2013-10-11
spring-data-rest-webmvc,2.0.2.RELEASE,-,2014-06-04
spring-data-rest-webmvc,2.0.1.RELEASE,-,2014-04-12
spring-data-rest-webmvc,2.0.2.RELEASE,+,2014-04-12
spring-data-rest-webmvc,2.1.1.RELEASE,-,2014-09-03
spring-data-rest-webmvc,2.1.1.RELEASE,+,2014-07-15
spring-data-rest-webmvc,2.1.4.RELEASE,+,2014-09-03
spring-data-rest-webmvc,2.1.0.RELEASE,+,2014-06-04
spring-data-rest-webmvc,2.1.0.RELEASE,-,2014-07-15
spring-data-rest-webmvc,2.0.1.RELEASE,+,2014-02-19
spring-data-commons,1.8.0.RELEASE,+,2014-06-04
spring-data-commons,1.7.2.RELEASE,+,2014-04-12
spring-data-commons,1.5.1.RELEASE,+,2013-05-05
spring-data-commons,1.9.1.RELEASE,+,2014-11-30
spring-data-commons,1.8.4.RELEASE,-,2014-11-30
spring-data-commons,1.5.1.RELEASE,-,2013-05-29
spring-data-commons,1.8.4.RELEASE,+,2014-09-03
spring-data-commons,1.6.2.RELEASE,-,2013-11-18
spring-data-commons,1.7.0.BUILD-SNAPSHOT,-,2014-02-19
spring-data-commons,1.6.1.RELEASE,+,2013-10-11
spring-data-commons,1.7.1.RELEASE,-,2014-04-12
spring-data-commons,1.8.1.RELEASE,+,2014-07-15
spring-data-commons,1.7.2.RELEASE,-,2014-06-04
spring-data-commons,1.7.0.BUILD-SNAPSHOT,+,2013-11-18
spring-data-commons,1.6.2.RELEASE,+,2013-11-12
spring-data-commons,1.8.1.RELEASE,-,2014-09-03
spring-data-commons,1.8.0.RELEASE,-,2014-07-15
spring-data-commons,1.7.1.RELEASE,+,2014-02-19
spring-data-commons,1.6.1.RELEASE,-,2013-11-12
joda-time-hibernate,1.3,+,2013-07-28
joda-time-hibernate,1.3,-,2013-08-08
aopalliance,1.0,+,2013-10-11
aopalliance,1.0,+,2013-08-01
aopalliance,1.0,-,2013-10-11
aspectjweaver,1.7.3,-,2013-08-08
aspectjweaver,1.7.3,+,2013-08-01
castor,1.3.3-rc1,-,2013-11-11
castor,1.2,-,2013-11-08
castor,1.2,+,2013-05-20
castor,1.2,-,2013-08-08
castor,1.2,+,2013-11-11
castor,1.3.3-rc1,+,2013-11-08
castor,1.2,+,2013-08-08
spring-hateoas,0.7.0.RELEASE,-,2013-11-16
spring-hateoas,0.7.0.RELEASE,+,2013-09-28
json-path,1.2.0,+,2014-12-13
javassist,3.18.2-GA,+,2014-06-11
javassist,3.18.1-GA,-,2014-06-11
javassist,3.18.1-GA,+,2014-01-13
hamcrest-core,1.3,-,2013-08-08
hamcrest-core,1.3,+,2013-08-01
hamcrest-core,1.3,+,2013-08-08
junit,4.11,-,2013-08-08
junit,4.11,+,2013-08-08
slf4j-log4j12,1.7.6,-,2014-07-15
slf4j-log4j12,1.7.7,+,2014-07-15
