library,version,sign,date
log4j-1.2-api,@log4j.version@,+,2017-05-10
junit,@junit.version@,+,2017-05-06
junit,4.13,+,2019-08-12
junit,@junit.version@,+,2018-08-27
junit,@junit.version@,-,2020-01-22
junit,@junit.version@,+,2017-09-05
junit,@junit.version@,+,2020-02-24
junit,4.12,-,2019-08-12
assertj-core,@assertj.version@,+,2017-05-06
assertj-core,@assertj.version@,+,2018-08-27
assertj-core,@assertj.version@,-,2020-01-22
assertj-core,@assertj.version@,+,2017-09-05
grpc-all,1.2.0,-,2017-05-06
javax.annotation-api,1.3.2,+,2018-08-27
javax.annotation-api,1.3.2,+,2018-10-17
javax.annotation-api,1.3.2,-,2018-10-17
javax.annotation-api,1.3.1,+,2017-09-05
javax.annotation-api,1.2,+,2017-05-10
javax.annotation-api,1.2,-,2017-09-05
javax.annotation-api,1.2,-,2017-05-10
javax.annotation-api,1.3.1,-,2018-04-11
