library,version,sign,date
commons-configuration,1.10,+,2015-01-25
commons-configuration,1.6,-,2015-01-25
hadoop-client,2.5.0,+,2011-09-21
hadoop-client,2.6.0,-,2016-03-25
hadoop-client,2.5.0,-,2015-01-25
slf4j-simple,1.7.10,+,2015-01-25
jdk.tools,1.7,+,2015-01-22
htrace-core,3.1.0-incubating,+,2015-01-25
annotations,1.3.9,+,2015-02-12
annotations,1.3.9,+,2015-01-25
hadoop-common,2.6.0,-,2016-03-25
hadoop-common,2.5.0,-,2015-01-25
hadoop-common,2.6.0,+,2015-01-25
hadoop-common,2.5.0,+,2015-01-22
commons-lang,2.5,-,2015-01-25
commons-lang,2.5,-,2011-04-27
commons-lang,2.6,+,2015-01-25
commons-lang,2.5,+,2011-04-27
hbase-server,1.0.0,-,2016-03-25
hbase-server,1.0.0,+,2015-01-22
slf4j-api,1.7.10,+,2015-01-25
commons-codec,1.10,+,2015-01-25
commons-codec,1.4,-,2015-01-25
commons-codec,1.4,+,2011-05-10
commons-codec,1.4,-,2015-03-15
commons-codec,1.4,+,2011-04-27
protobuf-java,2.3.0,+,2011-05-10
protobuf-java,2.3.0,-,2011-09-21
protobuf-java,2.6.1,+,2015-01-25
commons-logging,1.1.1,+,2011-05-10
commons-logging,1.1.1,-,2015-03-15
commons-logging,1.2,+,2011-09-21
commons-logging,1.1.1,-,2015-01-25
commons-logging,1.1.1,-,2011-09-21
hadoop-annotations,2.6.0,-,2016-03-25
hadoop-annotations,2.6.0,+,2015-03-15
zookeeper,3.4.6,-,2016-03-25
zookeeper,3.4.6,+,2015-01-25
zookeeper,3.3.2,-,2011-09-21
zookeeper,3.4.8,+,2016-03-25
hadoop-auth,2.6.0,-,2016-03-25
hadoop-auth,2.6.0,+,2015-01-25
hbase-annotations,1.0.0,-,2016-03-25
hbase-annotations,1.0.0,-,2015-03-15
hbase-annotations,1.0.0,+,2015-03-15
hbase-annotations,1.0.0,+,2015-01-25
hbase-common,1.0.0,-,2016-03-25
hbase-common,1.0.0,+,2015-01-22
commons-collections,3.2.1,+,2015-01-25
jackson-mapper-asl,1.9.13,+,2015-02-17
jackson-mapper-asl,1.9.13,+,2015-01-25
jackson-mapper-asl,1.9.13,-,2015-02-12
jackson-core-asl,1.9.13,+,2015-02-17
netty-all,4.0.23.Final,+,2015-01-25
hbase-client,1.0.0,-,2016-03-25
hbase-client,1.0.0,+,2011-09-21
logback-core,1.1.2,+,2015-01-25
hbase-protocol,1.0.0,-,2016-03-25
hbase-protocol,1.0.0,+,2015-01-25
guava,18.0,-,2015-01-25
guava,18.0,+,2011-09-21
guava,r09,+,2011-04-27
guava,r09,-,2015-01-25
