library,version,sign,date
javax.servlet-api,3.0.1,+,2014-08-26
xmlsec,1.3.0,+,2013-01-30
junit,4.10,-,2013-01-30
junit,4.10,-,2014-05-12
junit,4.10,+,2013-01-30
logback-classic,1.0.7,-,2013-01-30
logback-classic,1.0.7,+,2013-01-30
commons-codec,1.7,-,2013-01-30
commons-codec,1.7,+,2013-01-30
jcl-over-slf4j,1.7.0,+,2013-01-30
jcl-over-slf4j,1.7.0,-,2013-02-03
jcl-over-slf4j,1.7.0,-,2013-01-30
pac4j-core,1.4.1,-,2014-04-08
pac4j-core,1.4.1,-,2014-02-17
pac4j-core,1.5.1,-,2014-10-16
pac4j-core,1.5.0,-,2014-08-28
pac4j-core,1.4.1,+,2014-02-17
pac4j-core,1.4.1,+,2013-07-26
htmlunit,2.11,-,2013-04-22
htmlunit,2.11,-,2013-01-30
htmlunit,2.12,-,2014-05-12
htmlunit,2.11,+,2013-01-30
opensaml,1.1,-,2013-01-30
opensaml,1.1,+,2013-01-30
opensaml,1.1,-,2013-11-12
kryo,1.04,+,2013-02-05
cas-client-core,3.3.1,-,2014-08-26
cas-client-core,3.3.0,-,2014-05-12
cas-client-core,3.2.1,+,2013-01-30
cas-client-core,3.2.1,-,2013-11-12
cas-client-core,3.2.1,-,2013-01-30
