library,version,sign,date
easymock,3.3.1,-,2015-03-03
easymock,3.3,+,2014-12-11
easymock,3.3,+,2015-03-03
easymock,3.3.1,+,2015-03-03
easymock,3.3.1,+,2014-12-14
zkclient,0.1,-,2013-04-05
zkclient,0.1,-,2013-03-04
zkclient,0.1,-,2013-01-23
zkclient,0.1,-,2015-03-03
zkclient,0.1,+,2013-04-05
zkclient,0.1,+,2013-03-04
zkclient,0.1,+,2013-01-23
zkclient,0.1,-,2014-03-11
zkclient,0.1,-,2013-12-10
zkclient,0.1,+,2014-02-18
zkclient,0.1,+,2015-03-03
junit,4.8.1,+,2013-03-04
junit,4.8.1,-,2013-03-04
junit,4.8.1,-,2013-12-10
junit,4.8.1,+,2015-03-03
junit,4.8.1,-,2014-03-11
junit,4.8.1,+,2013-01-27
junit,4.8.1,+,2013-04-18
junit,4.8.1,-,2015-03-03
commons-cli,1.2,+,2013-12-09
mail,1.4.3,+,2015-03-03
zookeeper,3.3.4,-,2013-04-05
zookeeper,3.3.4,-,2013-03-04
zookeeper,3.3.4,-,2014-03-11
zookeeper,3.3.4,+,2015-03-03
zookeeper,3.3.4,-,2013-01-23
zookeeper,3.3.4,+,2014-02-18
zookeeper,3.3.4,-,2015-03-03
zookeeper,3.3.4,+,2013-01-23
zookeeper,3.3.4,-,2013-12-10
zookeeper,3.3.4,+,2013-04-05
zookeeper,3.3.4,+,2013-03-04
commons-httpclient,3.0.1,+,2014-03-11
commons-httpclient,3.0.1,+,2015-03-03
commons-httpclient,3.0.1,-,2015-03-03
commons-httpclient,3.0.1,-,2013-01-23
commons-httpclient,3.0.1,-,2014-02-18
commons-httpclient,3.0.1,+,2014-01-29
joda-time,2.2,+,2014-03-21
joda-time,1.6.2,+,2015-03-03
joda-time,2.2,+,2013-12-10
joda-time,1.6,-,2013-03-04
joda-time,2.2,-,2014-11-17
joda-time,1.6.2,-,2015-03-03
joda-time,1.6,-,2013-01-27
joda-time,1.6,+,2013-03-04
joda-time,1.6,+,2013-01-23
joda-time,1.6,-,2014-12-14
scala-library,2.8.0,-,2014-03-11
scala-library,2.10.3,-,2014-02-18
scala-library,2.10.3,+,2015-03-03
scala-library,2.8.0,+,2013-01-23
scala-library,2.10.3,-,2015-03-03
scala-library,2.8.0,-,2013-01-23
scala-library,2.8.0,-,2013-04-05
scala-library,2.8.0,-,2013-03-04
scala-library,2.8.0,+,2014-02-18
scala-library,2.8.0,+,2013-04-05
scala-library,2.8.0,+,2013-03-04
scala-library,2.8.0,-,2013-12-10
camus-kafka-coders,0.1.0-SNAPSHOT,-,2015-03-03
camus-kafka-coders,0.1.0-SNAPSHOT,+,2015-03-03
avro-mapred,1.7.4,+,2013-12-10
avro-mapred,1.7.3,+,2013-01-23
avro-mapred,1.7.3,-,2013-03-04
avro-mapred,1.7.4,-,2014-03-21
avro-mapred,1.7.3,-,2014-03-21
avro-mapred,1.7.7,-,2015-03-03
avro-mapred,1.7.7,+,2015-03-03
avro-mapred,1.7.3,+,2013-03-04
java-dogstatsd-client,2.0.8,+,2014-03-21
camus-api,0.1.0-SNAPSHOT,-,2015-03-03
camus-api,0.1.0-SNAPSHOT,+,2013-01-23
camus-api,0.1.0-SNAPSHOT,-,2013-03-04
camus-api,0.1.0-SNAPSHOT,+,2013-03-04
camus-api,0.1.0-SNAPSHOT,+,2015-03-03
dumbster,1.6,+,2015-03-03
kafka_2.10,0.8.0,+,2013-12-10
kafka_2.10,0.8.0,-,2015-03-03
kafka_2.10,0.8.0,-,2014-02-18
kafka_2.10,0.8.0,+,2015-03-03
kafka_2.10,0.8.0,-,2014-12-14
kafka_2.10,0.8.0,+,2014-03-11
kafka_2.10,0.8.0,+,2014-12-14
