library,version,sign,date
httpmime,4.1,+,2011-10-26
httpmime,4.1,+,2011-09-26
httpmime,4.1,+,2011-10-17
httpmime,4.1,-,2011-10-17
httpmime,4.1,-,2011-10-26
slf4j-log4j12,1.6.1,-,2011-10-26
slf4j-log4j12,1.6.1,+,2011-10-26
slf4j-log4j12,1.6.1,-,2011-10-17
slf4j-log4j12,1.6.1,+,2011-10-04
slf4j-log4j12,1.6.1,+,2011-09-26
slf4j-log4j12,1.6.1,+,2011-10-17
mail,1.4.4,+,2011-10-26
commons-collections,3.2.1,+,2011-10-17
commons-collections,3.2.1,+,2011-09-27
commons-collections,3.2.1,+,2011-09-26
commons-collections,3.2.1,-,2011-10-26
commons-collections,3.2.1,-,2011-10-17
commons-collections,3.2.1,+,2011-10-26
commons-io,2.0.1,+,2011-09-27
commons-io,2.0.1,+,2011-10-26
commons-io,2.0.1,-,2011-10-26
hibernate,3.2.6.ga,-,2011-10-26
hibernate,3.2.6.ga,-,2011-10-17
hibernate,3.2.6.ga,+,2011-10-17
hibernate,3.2.6.ga,+,2011-09-26
hibernate,3.2.6.ga,+,2011-10-26
spring-web,3.0.5.RELEASE,-,2011-10-26
spring-web,3.0.5.RELEASE,+,2011-10-26
spring-web,3.0.5.RELEASE,+,2011-09-26
spring-web,3.0.5.RELEASE,+,2011-10-17
spring-web,3.0.5.RELEASE,-,2011-10-17
spring-xml,2.0.0.RELEASE,+,2011-10-26
spring-xml,2.0.0.RELEASE,+,2011-09-26
spring-xml,2.0.0.RELEASE,-,2011-10-17
spring-xml,2.0.0.RELEASE,-,2011-10-26
spring-xml,2.0.0.RELEASE,+,2011-10-17
slf4j-api,1.6.1,-,2011-10-26
slf4j-api,1.6.1,+,2011-10-26
slf4j-api,1.6.1,-,2011-10-17
slf4j-api,1.6.1,+,2011-09-26
slf4j-api,1.6.1,+,2011-10-17
slf4j-api,1.6.1,+,2011-09-27
alp-utils,0.0.1-SNAPSHOT,+,2011-09-27
alp-utils,0.1,-,2011-12-15
alp-utils,0.2,+,2011-12-15
alp-utils,0.0.1-SNAPSHOT,-,2011-09-29
alp-utils,0.1,+,2011-11-01
mysql-connector-java,5.1.12,-,2011-10-17
mysql-connector-java,5.1.12,+,2011-09-26
mysql-connector-java,5.1.12,+,2011-09-27
mysql-connector-java,5.1.12,+,2011-10-17
mysql-connector-java,5.1.12,+,2011-10-26
mysql-connector-java,5.1.12,-,2011-10-26
hibernate-annotations,3.4.0.GA,-,2011-10-26
hibernate-annotations,3.4.0.GA,+,2011-10-17
hibernate-annotations,3.4.0.GA,-,2011-10-17
hibernate-annotations,3.4.0.GA,+,2011-10-26
hibernate-annotations,3.4.0.GA,+,2011-09-26
hibernate-annotations,3.4.0.GA,+,2011-09-27
jta,1.0.1b,-,2011-09-30
jta,1.1,+,2011-09-30
jta,1.1,-,2011-10-26
jta,1.1,-,2011-10-17
jta,1.0.1b,+,2011-09-27
jta,1.1,+,2011-10-17
jta,1.1,+,2011-09-29
jta,1.1,+,2011-10-26
jaxb-api,2.2.2,-,2011-10-26
jaxb-api,2.2.2,+,2011-10-26
saxon-xom,8.7,-,2011-10-26
saxon-xom,8.7,+,2011-10-26
testng,6.1.1,-,2011-10-26
testng,6.1.1,+,2011-09-30
testng,6.1.1,+,2011-10-26
testng,6.1.1,-,2011-11-01
testng,6.1.1,-,2011-10-17
httpclient,4.1,+,2011-10-26
httpclient,4.1,+,2011-09-26
httpclient,4.1,+,2011-10-17
httpclient,4.1,+,2011-09-30
httpclient,4.1,-,2011-10-17
httpclient,4.1,-,2011-10-26
httpcore,4.1,+,2011-10-26
httpcore,4.1,+,2011-09-26
httpcore,4.1,+,2011-10-17
httpcore,4.1,-,2011-10-17
httpcore,4.1,-,2011-10-26
javassist,3.8.0.GA,-,2011-10-26
javassist,3.8.0.GA,-,2011-10-17
javassist,3.8.0.GA,+,2011-10-17
javassist,3.8.0.GA,+,2011-09-27
javassist,3.8.0.GA,+,2011-09-26
javassist,3.8.0.GA,+,2011-10-26
log4j,1.2.14,+,2011-09-27
log4j,1.2.16,-,2011-10-26
log4j,1.2.16,-,2011-10-17
log4j,1.2.16,+,2011-09-30
log4j,1.2.16,+,2011-10-26
log4j,1.2.14,-,2011-11-01
