library,version,sign,date
lambdaj,2.3.3,-,2016-06-11
lambdaj,2.3.3,+,2016-06-11
lambdaj,2.3.3,+,2012-06-16
lambdaj,2.3.3,-,2017-05-10
lambdaj,2.3.3,+,2017-02-04
jedis,2.9.0,+,2016-11-22
jedis,2.2.1,-,2014-04-22
jedis,2.4.0,+,2014-04-22
jedis,2.9.0,+,2017-02-04
jedis,2.8.1,-,2016-06-11
jedis,2.4.0,-,2016-04-02
jedis,2.8.1,+,2016-06-11
jedis,2.1.0,-,2013-12-13
jedis,2.2.1,+,2013-12-13
jedis,2.1.0,+,2012-08-21
jedis,2.8.1,-,2016-11-22
jedis,2.9.0,-,2017-05-10
jedis,2.8.1,+,2016-04-02
marklogic-client-api,4.2.0,+,2017-05-10
fongo,1.5.7,-,2014-12-06
fongo,1.5.7,+,2014-04-22
fongo,2.0.6,+,2016-06-11
fongo,2.0.1,-,2016-04-01
fongo,2.0.6,-,2017-03-05
fongo,1.0.7,+,2013-04-01
fongo,1.3.1,-,2013-12-13
fongo,1.4.0,-,2014-04-22
fongo,2.0.6,-,2017-05-10
fongo,2.0.6,+,2017-02-04
fongo,1.5.10,-,2015-02-07
fongo,1.0.3,-,2013-04-01
fongo,2.0.6,+,2016-04-01
fongo,2.0.1,+,2015-02-07
fongo,1.5.10,+,2014-12-06
fongo,2.0.12,+,2017-03-05
fongo,1.3.1,+,2013-10-26
fongo,1.4.0,+,2013-12-13
fongo,2.0.6,-,2016-06-11
fongo,1.0.7,-,2013-10-26
fongo,1.0.3,+,2012-12-29
