library,version,sign,date
vaadin-server,7.1-SNAPSHOT,+,2013-05-22
vaadin-server,7.1-SNAPSHOT,-,2013-09-20
vaadin-server,7.1.7,-,2013-12-04
vaadin-server,7.1.7,+,2013-09-20
vaadin-sass-compiler,0.9.2,+,2014-07-06
vaadin-sass-compiler,0.9.2,+,2014-07-30
vaadin-sass-compiler,0.9.2,-,2014-07-30
vaadin-sass-compiler,0.9.10,+,2014-08-28
vaadin-client-compiler-deps,1.1.0,+,2014-07-30
vaadin-client-compiler-deps,1.1.0,-,2014-07-30
vaadin-client-compiler-deps,1.1.0,+,2014-07-06
vaadin-client-compiler-deps,1.1.0,+,2014-08-28
json,20080701,+,2013-09-20
json,20131108.vaadin1,+,2014-08-28
json,20080701,-,2014-07-30
json,20080701,+,2014-07-30
commons-io,2.4,+,2014-07-30
commons-io,2.4,+,2013-01-12
commons-io,2.2,+,2012-12-07
commons-io,2.4,+,2014-08-28
commons-io,2.4,-,2014-07-30
commons-io,2.2,-,2013-01-12
vaadin-shared-deps,1.0.2,-,2014-07-30
vaadin-shared-deps,1.0.2,+,2014-07-30
vaadin-shared-deps,1.0.0,-,2012-12-05
