library,version,sign,date
spring-test,3.1.1.RELEASE,+,2012-04-06
spring-test,3.1.1.RELEASE,+,2012-05-24
spring-test,3.1.1.RELEASE,+,2012-04-01
spring-test,3.1.2.RELEASE,+,2012-05-24
hamcrest-core,1.3.RC2,+,2012-04-05
hamcrest-core,1.3.RC2,+,2013-01-25
hamcrest-library,1.3.RC2,+,2012-04-05
hamcrest-library,1.3.RC2,+,2013-01-25
junit,3.8.1,-,2012-03-31
junit,3.8.1,-,2012-04-01
junit,3.8.1,+,2012-04-06
junit,3.8.1,+,2012-03-31
junit,3.8.1,+,2012-09-05
junit,4.10,+,2012-04-06
junit,4.10,+,2013-01-25
junit,4.10,+,2012-05-24
junit,4.10,+,2012-04-01
spring-test-mvc,1.0.0.BUILD-SNAPSHOT,+,2013-01-25
spring-test-mvc,1.0.0.BUILD-SNAPSHOT,+,2012-04-05
jackson-mapper-asl,1.9.10,+,2013-01-25
jackson-mapper-asl,1.9.9,+,2012-09-05
jackson-mapper-asl,1.9.6,-,2012-09-05
jackson-mapper-asl,1.9.10,+,2012-12-16
jackson-mapper-asl,1.9.6,+,2012-03-31
jackson-mapper-asl,1.9.6,+,2012-05-24
jackson-mapper-asl,1.9.7,+,2012-05-24
velocity,1.7,+,2012-04-06
velocity,1.7,+,2012-12-15
velocity,1.7,+,2012-05-24
velocity,1.7,+,2013-01-25
spring-web,3.1.1.RELEASE,+,2012-03-31
spring-web,3.1.1.RELEASE,+,2012-04-06
spring-web,3.1.2.RELEASE,+,2012-05-24
spring-context,3.1.1.RELEASE,+,2012-03-31
spring-context,3.1.1.RELEASE,+,2012-04-06
velocity-tools,2.0,+,2013-01-25
velocity-tools,2.0,+,2012-04-06
velocity-tools,2.0,+,2012-12-15
velocity-tools,2.0,+,2012-05-24
easyapi,1.0,-,2012-12-15
easyapi,1.0.1,+,2013-01-25
easyapi,1.0,+,2012-09-05
jackson-core-asl,1.9.10,+,2013-01-25
jackson-core-asl,1.9.6,-,2012-09-05
jackson-core-asl,1.9.10,+,2012-12-16
jackson-core-asl,1.9.6,+,2012-03-31
jackson-core-asl,1.9.6,+,2012-05-24
spring-webmvc,3.1.1.RELEASE,+,2012-03-31
spring-webmvc,3.1.1.RELEASE,+,2012-04-06
groovy-all,2.0.4,+,2013-01-25
groovy-all,2.0.4,+,2012-12-15
javapns,2.2,+,2013-03-28
jta,2.6,+,2013-01-25
spring-mock,2.0.8,+,2013-01-25
spring-mock,2.0.8,+,2012-04-01
spring-mock,2.0.8,+,2012-05-24
easygroovyplugin,1.3,-,2012-05-24
easygroovyplugin,1.3,+,2012-05-24
easygroovyplugin,1.5,+,2012-04-06
easygroovyplugin,1.3,+,2012-04-06
easygroovyplugin,1.5,-,2012-05-24
mockito-core,1.9.0,+,2013-01-25
mockito-core,1.9.0,+,2012-04-01
mockito-core,1.9.0,+,2012-05-24
json-path,0.5.6,+,2012-04-05
json-path,0.8.1,+,2013-01-25
json-path,0.5.6,-,2012-09-12
servlet-api,3.0-alpha-1,-,2012-05-21
servlet-api,2.5,-,2012-05-24
servlet-api,3.0-alpha-1,+,2012-03-31
servlet-api,2.5,+,2012-05-24
servlet-api,2.5,+,2013-01-25
servlet-api,2.5,+,2012-04-06
log4j,1.2.15,+,2012-04-06
log4j,1.2.17,+,2012-05-24
log4j,1.2.16,+,2012-04-06
log4j,1.2.16,+,2012-05-24
log4j,1.2.15,+,2012-03-31
log4j,1.2.15,+,2013-01-25
log4j,1.2.14,+,2013-01-25
