library,version,sign,date
slf4j-api,1.7.7,-,2015-05-30
slf4j-api,1.7.5,-,2014-09-06
slf4j-api,1.7.7,+,2014-09-06
slf4j-api,1.7.1,+,2013-06-09
slf4j-api,1.7.1,-,2013-06-09
slf4j-api,1.7.1,-,2013-07-24
spring-test,3.1.3.RELEASE,-,2013-02-25
spring-test,3.2.1.RELEASE,-,2013-04-21
junit,4.10,-,2013-07-24
junit,4.10,-,2013-02-24
junit,4.10,+,2012-10-16
junit,4.10,+,2013-06-09
junit,4.10,-,2013-06-09
junit,4.11,+,2013-07-24
junit,4.11,-,2014-06-06
junit,4.10,+,2013-02-24
junit,4.11,+,2014-09-06
junit,4.11,-,2015-05-30
junit,4.11,-,2014-09-06
junit,4.11,+,2014-06-06
spring-core,3.2.1.RELEASE,-,2013-03-17
spring-core,3.1.3.RELEASE,-,2013-02-25
spring-core,3.1.3.RELEASE,+,2013-02-24
spring-core,3.2.1.RELEASE,-,2013-04-21
spring-core,3.2.1.RELEASE,+,2013-02-24
logback-classic,1.1.2,+,2014-09-06
logback-classic,1.1.2,-,2015-05-30
lightadmin-sandbox,1.1.0.BUILD-SNAPSHOT,+,2014-09-15
lightadmin-sandbox,1.1.0.BUILD-SNAPSHOT,-,2015-05-30
xml-apis,1.4.01,-,2014-09-06
xml-apis,1.4.01,+,2014-02-23
xml-apis,1.4.01,+,2014-09-06
javax.servlet.jsp-api,2.3.1,-,2014-09-15
javax.servlet.jsp-api,2.2.1,-,2014-09-06
javax.servlet.jsp-api,2.2.1,+,2013-06-09
javax.servlet.jsp-api,2.2.1,+,2013-02-24
javax.servlet.jsp-api,2.2.1,+,2012-10-16
javax.servlet.jsp-api,2.3.1,-,2015-05-30
javax.servlet.jsp-api,2.2.1,-,2013-11-29
javax.servlet.jsp-api,2.3.1,-,2014-06-06
javax.servlet.jsp-api,2.2.1,-,2013-02-24
javax.servlet.jsp-api,2.2.1,-,2013-07-24
javax.servlet.jsp-api,2.2.1,-,2013-06-09
javax.servlet.jsp-api,2.3.1,+,2014-06-06
javax.servlet.jsp-api,2.2.1,+,2013-07-24
javax.servlet.jsp-api,2.2.1,+,2013-05-12
javax.servlet.jsp-api,2.3.1,+,2014-09-06
javax.servlet.jsp-api,2.3.1,+,2014-09-15
guava,12.0,+,2012-10-26
guava,16.0.1,-,2014-06-13
guava,17.0,+,2014-06-13
guava,12.0,-,2013-02-03
guava,18.0,+,2014-09-06
guava,18.0,+,2014-09-03
guava,12.0,+,2013-02-03
guava,12.0,-,2013-02-24
guava,16.0.1,-,2014-06-06
guava,14.0,-,2013-11-29
guava,17.0,-,2014-09-03
guava,14.0,+,2013-07-24
guava,18.0,-,2015-05-30
guava,14.0,-,2014-09-06
guava,12.0,-,2013-07-24
guava,16.0.1,+,2014-06-06
guava,12.0,+,2013-06-09
guava,12.0,-,2013-06-09
selenium-java,2.32.0,+,2013-06-09
selenium-java,2.30.0,-,2013-03-31
selenium-java,2.32.0,-,2014-09-06
selenium-java,2.32.0,-,2014-11-11
selenium-java,2.32.0,-,2013-06-09
selenium-java,2.45.0,+,2014-11-11
selenium-java,2.32.0,+,2014-09-06
spring-context,3.2.1.RELEASE,-,2013-03-17
spring-context,3.1.3.RELEASE,-,2013-02-25
spring-context,3.2.1.RELEASE,-,2013-04-21
