library,version,sign,date
slf4j-api,1.7.5,-,2013-09-01
slf4j-api,1.7.5,-,2013-06-02
metrics-core,3.0.1,-,2013-09-01
metrics-core,3.0.1,+,2013-08-22
botto-annotations,0.7.0-SNAPSHOT,-,2013-09-01
botto-annotations,0.5.1-SNAPSHOT,-,2013-07-16
botto-annotations,0.6.7-SNAPSHOT,-,2013-07-26
botto-annotations,0.6.0-SNAPSHOT,-,2013-07-19
botto-annotations,0.5.0-SNAPSHOT,-,2013-06-03
logback-classic,1.0.13,-,2013-06-02
logback-classic,1.0.13,-,2013-09-01
java-reusables-threading,1.1,-,2013-08-17
java-reusables-threading,1.0,-,2013-08-17
java-reusables-threading,1.3-SNAPSHOT,-,2013-09-01
java-reusables-threading,1.0,+,2013-08-17
java-reusables-threading,1.2,-,2013-08-31
commons-lang3,3.1,+,2013-09-07
guava,14.0.1,-,2013-09-01
guava,14.0.1,+,2013-09-01
guava,14.0.1,-,2013-06-02
metrics-jvm,3.0.1,-,2013-09-01
metrics-jvm,3.0.1,+,2013-09-01
