library,version,sign,date
gwt-hashcode-equals,0.1.0,+,2013-09-09
javax.servlet-api,3.0.1,+,2014-03-03
junit,4.10,-,2013-07-02
junit,4.10,-,2013-02-14
junit,4.10,-,2012-08-07
junit,4.8.1,+,2012-08-07
junit,4.8.1,-,2013-02-14
junit,4.8.1,-,2012-08-07
junit,4.10,+,2013-02-14
junit,4.10,+,2012-08-07
guava-gwt,12.0,-,2013-02-05
guava-gwt,13.0,+,2013-02-14
guava-gwt,12.0,+,2012-09-21
guava-gwt,13.0,-,2013-02-14
guava-gwt,13.0,-,2013-07-02
lib-gwt-file,0.3.1,-,2013-07-16
lib-gwt-file,0.3.1,+,2013-02-14
lib-gwt-file,0.3.1,+,2012-08-20
lib-gwt-file,0.3.1,-,2012-08-07
lib-gwt-file,0.3.1,-,2013-02-14
mergelygwt-client,1.0-SNAPSHOT,-,2014-02-19
mergelygwt-client,1.0-SNAPSHOT,+,2013-05-17
acegwt-client,1.0-SNAPSHOT,-,2013-02-14
acegwt-client,1.0,-,2012-09-04
acegwt-client,1.0,+,2012-08-09
acegwt-client,1.1-SNAPSHOT,-,2013-09-08
acegwt-client,1.2-SNAPSHOT,-,2013-09-13
acegwt-client,1.0-SNAPSHOT,-,2013-07-04
acegwt-client,1.0-SNAPSHOT,+,2013-02-14
pressgang-ccms-restv1,1.0-SNAPSHOT,-,2013-02-24
pressgang-ccms-restv1,1.0-SNAPSHOT,-,2013-02-14
pressgang-ccms-restv1,1.2-SNAPSHOT,-,2013-09-08
pressgang-ccms-restv1,1.0.1-SNAPSHOT,-,2013-03-08
pressgang-ccms-restv1,1.1-SNAPSHOT,-,2013-07-22
pressgang-ccms-restv1,1.1-SNAPSHOT,-,2013-04-17
pressgang-ccms-restv1,1.0-SNAPSHOT,-,2013-06-26
pressgang-ccms-restv1,1.1-SNAPSHOT,-,2013-09-09
pressgang-ccms-restv1,1.2-SNAPSHOT,-,2013-09-13
pressgang-ccms-restv1,1.0-SNAPSHOT,+,2013-02-14
pressgang-ccms-restv1,1.0-SNAPSHOT,-,2013-03-12
annotations,9.0.4,+,2013-02-01
annotations,9.0.4,-,2013-07-16
log4j,1.2.17,+,2013-07-16
log4j,1.2.16,+,2013-02-14
log4j,1.2.16,+,2012-08-07
log4j,1.2.16,-,2013-07-02
log4j,1.2.16,+,2013-07-02
log4j,1.2.16,-,2013-02-14
log4j,1.2.16,-,2013-07-16
log4j,1.2.16,-,2012-08-07
