library,version,sign,date
liquibase-core,2.0.3,+,2014-04-15
liquibase-core,2.0.3,-,2014-04-15
liquibase-core,2.0.3,+,2012-08-14
liquibase-core,1.9.5,+,2012-02-06
liquibase-core,1.9.5,-,2012-02-07
liquibase-core,2.0.3,-,2012-08-14
hibernate-core,3.6.3.Final,+,2012-08-14
hibernate-core,3.6.3.Final,+,2014-04-15
hibernate-core,3.6.3.Final,-,2014-04-15
hibernate,3.2.5.ga,+,2012-08-14
hibernate,3.2.5.ga,-,2014-04-15
hibernate,3.2.5.ga,-,2012-08-14
hibernate,3.2.5.ga,+,2014-04-15
hibernate,3.2.5.ga,+,2012-02-06
motech-platform-server-api,0.9-SNAPSHOT,+,2012-03-07
motech-platform-server-api,0.9-SNAPSHOT,+,2012-03-05
motech-platform-server-api,0.8-SNAPSHOT,-,2012-03-02
motech-platform-server-api,0.8-SNAPSHOT,-,2012-02-11
motech-platform-server-api,0.9,-,2012-04-10
motech-platform-server-api,0.10-SNAPSHOT,+,2012-04-10
motech-platform-server-api,0.9-SNAPSHOT,-,2012-04-09
motech-platform-server-api,0.8-SNAPSHOT,+,2012-02-11
motech-platform-server-api,0.10,-,2012-06-05
motech-platform-server-api,0.10-SNAPSHOT,-,2012-05-14
spring-orm,3.1.0.RELEASE,-,2014-04-15
spring-orm,3.1.0.RELEASE,+,2012-08-14
spring-orm,3.0.5.RELEASE,-,2012-07-05
spring-orm,3.0.5.RELEASE,+,2012-02-07
spring-orm,3.1.0.RELEASE,+,2014-04-15
spring-orm,3.1.0.RELEASE,-,2012-08-14
hibernate-annotations,3.3.1.GA,+,2014-04-15
hibernate-annotations,3.3.1.GA,-,2012-08-14
hibernate-annotations,3.3.1.GA,+,2012-08-14
hibernate-annotations,3.3.1.GA,-,2014-04-15
hibernate-annotations,3.3.1.GA,+,2012-02-06
postgresql,9.1-901.jdbc4,+,2012-02-06
postgresql,9.1-901.jdbc4,+,2014-04-15
postgresql,9.1-901.jdbc4,+,2012-05-17
postgresql,9.1-901.jdbc4,-,2014-04-15
postgresql,9.1-901.jdbc4,-,2012-08-14
postgresql,9.1-901.jdbc4,+,2012-08-14
hibernate-entitymanager,3.3.2.GA,+,2012-02-06
hibernate-entitymanager,3.3.2.GA,+,2014-04-15
hibernate-entitymanager,3.3.2.GA,-,2014-04-15
hibernate-entitymanager,3.3.2.GA,-,2012-08-14
hibernate-entitymanager,3.3.2.GA,+,2012-08-14
motech-bulk-export-import,0.1-SNAPSHOT,+,2012-05-18
motech-bulk-export-import,0.10,+,2012-06-05
motech-bulk-export-import,0.10,-,2012-06-05
motech-bulk-export-import,0.10.3,-,2012-06-06
motech-bulk-export-import,0.10.5-SNAPSHOT,-,2012-07-02
motech-bulk-export-import,0.1-SNAPSHOT,-,2012-05-25
hibernate-c3p0,3.3.2.GA,+,2012-02-06
hibernate-c3p0,3.3.2.GA,+,2014-04-15
hibernate-c3p0,3.3.2.GA,-,2014-04-15
hibernate-c3p0,3.3.2.GA,-,2012-08-14
hibernate-c3p0,3.3.2.GA,+,2012-08-14
hibernate-commons-annotations,3.1.0.GA,-,2014-04-15
hibernate-commons-annotations,3.1.0.GA,+,2012-08-14
hibernate-commons-annotations,3.1.0.GA,+,2014-04-15
hibernate-commons-annotations,3.1.0.GA,-,2012-08-14
hibernate-commons-annotations,3.1.0.GA,+,2012-02-06
servlet-api,2.5,+,2012-07-05
servlet-api,2.5,-,2012-08-14
servlet-api,2.5,-,2014-04-15
servlet-api,2.5,+,2014-04-15
ehcache-core,2.1.0,-,2012-07-05
ehcache-core,2.4.3,-,2014-04-15
ehcache-core,2.1.0,+,2012-02-06
ehcache-core,2.4.3,+,2012-07-05
ehcache-core,2.4.3,+,2014-04-15
