library,version,sign,date
hazelcast-client,3.1.3,-,2016-02-06
hazelcast-client,3.1.3,+,2013-12-16
jmockit,0.999.15,-,2012-08-28
jmockit,0.999.16,-,2013-05-18
jmockit,1.4,-,2013-12-07
jmockit,1.12,-,2018-02-26
jmockit,1.2,-,2013-07-06
jmockit,0.999.15,+,2012-05-05
jmockit,1.5,-,2014-03-06
jmockit,1.3,-,2013-08-27
jmockit,1.7,-,2014-09-24
spring-beans,[2.5,),+,2014-02-08
spring-beans,[2.5,),-,2018-10-06
junit,4.10,-,2013-08-27
junit,4.10,+,2012-05-12
junit,4.10,-,2012-05-12
jackson-databind,2.1.0,-,2012-10-29
jackson-databind,2.9.7,-,2019-01-11
jackson-databind,2.3.3,-,2014-09-04
jackson-databind,2.1.2,-,2013-05-18
jackson-databind,2.7.9.2,-,2018-10-06
jackson-databind,2.1.0,+,2012-10-17
jackson-databind,2.3.1,-,2014-03-06
jackson-databind,2.3.2,-,2014-05-04
jackson-databind,2.4.3,-,2015-08-04
jackson-databind,2.9.9.2,-,2019-09-04
jackson-databind,2.2.3,-,2014-01-14
jackson-databind,2.2.2,-,2013-08-27
jackson-databind,2.6.3,-,2016-03-04
jackson-databind,2.7.4,-,2017-11-02
jackson-databind,2.4.2,-,2014-09-24
netty-codec,4.0.23.Final,-,2014-09-24
netty-codec,4.0.19.Final,-,2014-07-07
netty-codec,4.1.0.CR1,-,2016-01-23
netty-codec,4.0.15.Final,-,2014-02-19
netty-codec,4.0.32.Final,-,2015-12-21
netty-codec,4.0.12.Final,-,2013-12-11
netty-codec,4.0.14.Final,-,2014-01-20
netty-codec,4.0.13.Final,-,2013-12-19
netty-codec,4.1.16.Final,-,2017-11-02
netty-codec,4.1.30.Final,-,2018-10-06
netty-codec,4.1.0.CR2,-,2016-02-06
netty-codec,4.0.17.Final,-,2014-03-25
netty-codec,4.1.21.Final,-,2018-02-08
netty-codec,4.1.1.Final,-,2016-07-01
netty-codec,4.1.0.Final,-,2016-05-28
netty-codec,4.0.20.Final,-,2014-06-17
netty-codec,4.0.12.Final,+,2013-12-07
netty-codec,4.1.5.Final,-,2016-09-27
netty-codec,4.0.19.Final,-,2014-05-13
netty-codec,4.1.31.Final,-,2018-12-29
netty-codec,4.1.32.Final,-,2019-01-11
netty-codec,4.1.0.CR3,-,2016-03-04
netty-codec,4.1.15.Final,-,2017-09-30
netty-codec,4.1.25.Final,-,2018-07-06
netty-codec,4.1.4.Final,-,2016-09-27
netty-codec,4.1.39.Final,-,2019-09-04
netty-codec,4.0.24.Final,-,2014-12-05
netty-codec,4.1.22.Final,-,2018-02-26
netty-codec,4.0.18.Final,-,2014-04-02
netty-codec,4.0.25.Final,-,2015-08-04
netty-transport-native-epoll,4.1.30.Final,-,2018-10-06
netty-transport-native-epoll,4.1.0.CR2,-,2016-02-06
netty-transport-native-epoll,4.1.21.Final,-,2018-02-08
netty-transport-native-epoll,4.1.1.Final,-,2016-07-01
