library,version,sign,date
junit,4.8.2,+,2013-01-12
junit,3.8.1,+,2013-01-12
junit,3.8.1,+,2013-01-10
junit,3.8.1,-,2012-12-11
junit,3.8.1,-,2013-01-15
junit,4.8.2,-,2013-01-12
junit,3.8.1,+,2012-12-11
jersey-multipart,1.8,+,2013-01-15
jersey-multipart,1.8,+,2013-01-20
jersey-spring,1.8,+,2013-01-15
jersey-spring,1.8,+,2013-01-20
oauth-client,1.8,+,2013-01-15
oauth-client,1.8,+,2013-01-20
jsr311-api,1.1.1,+,2013-01-20
jersey-simple-server,1.8,+,2013-01-15
jersey-simple-server,1.8,+,2013-01-20
swazam-util,1.0,+,2013-01-12
swazam-util,1.0,+,2013-01-10
jersey-client,1.8,+,2013-01-15
jersey-client,1.8,+,2013-01-20
jersey-json,1.8,+,2013-01-15
jersey-json,1.8,+,2013-01-20
jersey-atom,1.8,+,2013-01-15
jersey-atom,1.8,+,2013-01-20
oauth-server,1.8,+,2013-01-15
oauth-server,1.8,+,2013-01-20
jersey-guice,1.8,+,2013-01-15
jersey-guice,1.8,+,2013-01-20
jersey-server,1.0.3.1,-,2013-01-15
jersey-server,1.0.3.1,+,2013-01-12
jersey-server,1.8,+,2013-01-20
jersey-apache-client,1.8,+,2013-01-15
jersey-apache-client,1.8,+,2013-01-20
jersey-atom-abdera,1.8,+,2013-01-15
jersey-atom-abdera,1.8,+,2013-01-20
jersey-core,1.8,+,2013-01-15
jersey-core,1.8,+,2013-01-20
oauth-signature,1.8,+,2013-01-15
oauth-signature,1.8,+,2013-01-20
log4j,1.2.17,-,2013-01-15
log4j,1.2.17,+,2013-01-15
log4j,1.2.17,+,2013-01-12
