library,version,sign,date
slf4j-api,1.6.6,-,2012-12-02
caliper,0.5-rc1,+,2013-03-24
junit,4.10,+,2012-12-02
junit,4.10,-,2013-01-30
junit,4.11,+,2013-01-30
junit,4.10,-,2012-12-02
vecmath,1.3.1,-,2013-01-30
vecmath,1.3.1,-,2012-11-24
vecmath,1.3.1,-,2012-12-02
vecmath,1.3.1,+,2012-12-02
logback-classic,1.0.7,-,2013-01-30
logback-classic,1.0.7,+,2012-11-24
logback-classic,1.0.7,+,2012-12-02
logback-classic,1.0.7,-,2012-12-02
guava,14.0-rc3,-,2013-03-15
guava,12.0,+,2013-01-30
guava,12.0,+,2013-01-01
guava,12.0,-,2013-01-30
guava,14.0.1,+,2013-03-15
guava,14.0-rc3,+,2013-02-19
guava,12.0,-,2013-02-19
antlr4,4.0,-,2013-03-09
antlr4,4.0,+,2013-03-02
