library,version,sign,date
slf4j-api,1.6.3,-,2012-03-01
slf4j-api,1.6.3,+,2011-05-15
slf4j-api,1.6.3,-,2012-03-02
jersey-guice,1.4,-,2011-05-15
jersey-guice,1.10,-,2012-03-02
jackson-core-asl,1.9.2,-,2012-03-02
jackson-core-asl,1.3.2,-,2011-05-15
slf4j-log4j12,1.6.3,-,2012-03-01
slf4j-log4j12,1.4.2,-,2011-05-15
slf4j-log4j12,1.6.3,+,2011-05-15
slf4j-log4j12,1.6.3,-,2012-03-02
guice-multibindings,2.0,-,2011-05-15
guice-multibindings,3.0,-,2012-03-02
guice-multibindings,3.0,+,2011-05-15
config-magic,0.9,-,2012-03-02
config-magic,0.8-SNAPSHOT,-,2011-05-15
config-magic,0.8-SNAPSHOT,+,2011-03-15
jetty-servlet,8.0.4.v20111024,+,2011-05-15
jetty-servlet,8.0.4.v20111024,-,2012-03-02
joda-time,1.6,+,2012-03-02
joda-time,1.6,+,2011-05-15
joda-time,1.6,-,2012-03-02
jersey-core,1.4,-,2011-05-15
jersey-core,1.10,-,2012-03-02
jackson-mapper-asl,1.9.2,-,2012-03-02
jackson-mapper-asl,1.3.2,-,2011-05-15
guava,11.0.1,+,2011-05-15
guava,11.0.1,-,2012-03-02
guice,2.0,-,2011-05-15
guice,3.0,-,2012-03-02
guice,3.0,+,2011-05-15
